Brand Name,Generic Name,Manufacturer,Total Spending,Total Dosage Units,"Total 
Claims",Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary,Year
Acetaminophen-Codeine,Acetaminophen With Codeine,Mylan Instituti,3484.77,14137.2,494,244,0.246496477,7.054190283,14.28184426,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Pharmaceutical,69847.85,1683729.187,5985,3628,0.041484017,11.67048455,19.25243936,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Qualitest/Par P,13915201.42,69618017.57,1228024, ,0.194083538,11.33137579, ,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Ranbaxy Pharmac,3902.45,14185,183,74,0.275111033,21.32486339,52.73581081,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Teva USA,12779534.16,61779855,1073137,487604,0.199782521,11.90857659,26.20883783,2013
Acetasol HC,Hydrocortisone/Acetic Acid,Actavis/Allerga,360808.84,20280,1974,1530,17.79136292,182.7805674,235.8227712,2013
Acetazolamide,Acetazolamide,AHP,92676.11,51269,1249,662,2.253951949,74.2002482,139.9941239,2013
Acetazolamide,Acetazolamide,Heritage Pharma,3145534.27,1070071,20799,9160,2.9395566,151.23488,343.3989378,2013
Acetazolamide,Acetazolamide,Lannett Co. Inc,3525955.8,5943949.501,91820,32278,0.593200834,38.4007384,109.2371213,2013
Acetazolamide,Acetazolamide,Nostrum Laborat, , , , , , , ,2013
Acetazolamide,Acetazolamide,Taro Pharm USA,3695993.62,6191038.599,101392,35745,0.596278322,36.45251716,103.3988983,2013
Acetazolamide,Acetazolamide,Teva USA,1781572.7,606195,13355, ,2.938943244,133.4011756, ,2013
Acetazolamide,Acetazolamide,Zydus Pharmaceu,5343841.76,1846594.18,38170,17050,2.893890719,140.0010941,313.4218041,2013
Acetic Acid*,Acetic Acid,B.Braun,17258.42,3571672,1893,537,0.004832028,9.116967776,32.13858473,2013
Acetic Acid*,Acetic Acid,Baxter Healthca,84064.58,13601657.3,8398,2158,0.006180466,10.01007145,38.95485635,2013
Acetic Acid*,Acetic Acid,Hi-Tech/Akorn C,162418.56,84215,5408,4199,1.928617942,30.03301775,38.68029531,2013
Acetic Acid*,Acetic Acid,Hospira/Icu Med,277005.2,20679125,14864, ,0.013395402,18.63597955, ,2013
Acetic Acid*,Acetic Acid,Morton Grove Ph,335949.53,186462.5,11107,8699,1.801700235,30.24664896,38.61932751,2013
Acetic Acid*,Acetic Acid,Qualitest/Par P,375019.22,180573,11507, ,2.076828873,32.59052924, ,2013
Acetic Acid-Aluminum,Acetic Acid/Aluminum Acetate,Valeant,319470.77,324115,5283,3868,0.985671043,60.47146886,82.59327042,2013
Acetylcysteine*,Acetylcysteine,Amer. Regent,58558.33,75253,1524,643,0.791266597,38.42410105,91.07049767,2013
Acetylcysteine*,Acetylcysteine,App/Fresenius K*,544377.33,360490.5,5262,2787,1.377660473,103.4544527,195.327352,2013
Acetylcysteine*,Acetylcysteine,Hospira/Pfizer,43187.5,143963.999,1995, ,0.299899883,21.64786967, ,2013
Acetylcysteine*,Acetylcysteine,Perrigo Co.,820062.76,136749,1613,1022,5.996846485,508.4084067,802.4097456,2013
Aciphex,Rabeprazole Sodium,Eisai Inc.,117371070.4,11468006,228394,60087,10.23465373,513.8973456,1953.352145,2013
Aciphex Sprinkle,Rabeprazole Sodium,Avadel Pharmace, , , , , , , ,2013
Acitretin,Acitretin,Actavis/Impax G, , , , , , , ,2013
Acitretin,Acitretin,Mylan, , , , , , , ,2013
Acitretin,Acitretin,Prasco Labs,4494780.9,167677,4631,1955,26.97344441,970.5853811,2299.120665,2013
Acitretin,Acitretin,Sigmapharm Labo, , , , , , , ,2013
Acitretin,Acitretin,Teva USA,5767178.09,223421,5713,2534,25.96905611,1009.4833,2275.918741,2013
Actemra*,Tocilizumab,"Genentech, Inc.*",6774144.99,88210.9,4052,649,100.791824,1671.802811,10437.81971,2013
Acthib,Haemoph B Poly Conj-Tet Tox/PF,Sanofi-Pasteur, , , , , , , ,2013
Actigall,Ursodiol,Actavis/Allerga,653386.51,103791,833,169,6.295213554,784.377563,3866.192367,2013
Actimmune,"Interferon Gamma-1b,Recomb.",Horizon Pharma,608973.5,175,21,21,3479.848571,28998.7381,28998.7381,2013
Activella,Estradiol/Norethindrone Acet,Gemini Laborato, , , , , , , ,2013
Actonel,Risedronate Sodium,Actavis/Allerga,172256361.3,3507298.518,793957,166086,84.20974486,216.959308,1037.151604,2013
Actoplus Met,Pioglitazone HCl/Metformin HCl,Takeda Pharmace,7078323.12,1298708,17841,4935,5.450623504,396.744752,1434.310663,2013
Actoplus Met XR,Pioglitazone HCl/Metformin HCl,Takeda Pharmace,2982026.5,420808,5606,1478,7.646129721,531.934802,2017.609269,2013
Actos,Pioglitazone HCl,Takeda Pharmace,34240903.06,3481531.03,86671,25932,9.839478692,395.0675896,1320.411193,2013
Acular,Ketorolac Tromethamine,Allergan Inc.,188135.47,6307,995,506,29.82962898,189.0808744,371.8092293,2013
Acular Ls,Ketorolac Tromethamine,Allergan Inc.,247413.88,7847,1375,772,31.5297413,179.9373673,320.4843005,2013
Acuvail,Ketorolac Tromethamine/PF,Allergan Inc.,1204871.13,199594,5291,3337,6.036609968,227.7208713,361.0641684,2013
Acyclovir Sodium,Acyclovir Sodium,App/Fresenius K,40567.23,52216.08,149,150,0.776910676,272.2632886,270.4482,2013
Acyclovir Sodium,Acyclovir Sodium,Auromedics Phar, , , , , , , ,2013
Acyclovir*,Acyclovir,AHP, , , , , , , ,2013
Acyclovir*,Acyclovir,Actavis Pharma/*,153828.49,758763.812,1780, ,0.20273567,86.4205, ,2013
Acyclovir*,Acyclovir,Amneal Pharmace, , , , , , , ,2013
Acyclovir*,Acyclovir,Apotex Corp,3498284.82,11324154.5,167661,83316,0.320885051,20.86522698,41.98815138,2013
Acyclovir*,Acyclovir,Avpak,1083.41,2571,66,40,0.421396344,16.41530303,27.08525,2013
Acyclovir*,Acyclovir,Camber Pharmace, , , , , , , ,2013
Acyclovir*,Acyclovir,Carlsbad Tech,4766693.1,14527187.11,235874,110976,0.339873258,20.20864148,42.9524681,2013
Acyclovir*,Acyclovir,Heritage Pharma,646901.14,1800991,19412,9949,0.356396597,33.32480631,65.0217248,2013
Acyclovir*,Acyclovir,Hi-Tech/Akorn C,259160.46,1252918.54,2899,1654,0.206845419,89.39650224,156.6870979,2013
Acyclovir*,Acyclovir,Major Pharmaceu,166.11,522.5,11,,0.317913876,15.10090909,,2013
Acyclovir*,Acyclovir,Mckesson Packag, , , , , , , ,2013
Acyclovir*,Acyclovir,Mylan Instituti,3785.28,187,26,,20.24213904,145.5876923,,2013
Acyclovir*,Acyclovir,Mylan*,17862597.55,8914642.2,168226,91744,4.353070261,106.1821452,194.7004442,2013
Acyclovir*,Acyclovir,Quinn Pharmaceu, , , , , , , ,2013
Acyclovir*,Acyclovir,Ranbaxy Pharmac,844433.34,2793800.5,48542,20301,0.302252555,17.39593218,41.59565243,2013
Acyclovir*,Acyclovir,Ranbaxy/Sun Pha,1366780.88,3468065,74626,47826,0.398707133,18.31507625,28.57819763,2013
Acyclovir*,Acyclovir,Renaissance/Myl, , , , , , , ,2013
Acyclovir*,Acyclovir,Teva USA,10084466.91,34435665.53,572609,244128,0.305955263,17.61143627,41.30811259,2013
Acyclovir*,Acyclovir,Zydus Pharmaceu, , , , , , , ,2013
Aczone,Dapsone,Allergan Inc.,917874.89,152190,2152,2705,6.031111703,426.521789,339.3252828,2013
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",Sanofi-Pasteur,8217753.66,106469.616,146032,144430,79.47487054,56.27365002,56.89783051,2013
Adalat Cc,Nifedipine,"Bayer,Pharmaceu",310028.74,152246,2962,580,2.085087695,104.6687171,534.5323103,2013
Adapalene,Adapalene,Actavis Pharma/, , , , , , , ,2013
Adapalene,Adapalene,Fougera/Sandoz,130435.07,30555,653,455,4.268861725,199.7474273,286.6704835,2013
Adapalene,Adapalene,Glenmark Pharma,119701.32,41494.5,861,487,2.884751473,139.0259233,245.7932649,2013
Adapalene,Adapalene,Perrigo Co.,597809.17,141915,2887,1709,4.212445267,207.069335,349.8005676,2013
Adapalene,Adapalene,Prasco Labs, , , , , , , ,2013
Adapalene,Adapalene,Sandoz, , , , , , , ,2013
Adapalene,Adapalene,Taro Pharm USA,180335.31,60375,1255,719,2.986920248,143.6934741,250.8140612,2013
Adapalene,Adapalene,Teva USA,366161.02,122575,2590,1443,2.987240628,141.3749112,253.7498406,2013
Adcirca,Tadalafil,Eli Lilly & Co.,111240216.9,3880460,62507,8773,28.66676035,1779.64415,12679.83778,2013
Adderall,Dextroamphetamine/Amphetamine,Teva USA, , , , , , , ,2013
Adderall XR,Dextroamphetamine/Amphetamine,Shire US Inc.,9257638.44,1515924,25777,6025,6.153127689,359.1433619,1536.5375,2013
Adefovir Dipivoxil,Adefovir Dipivoxil,Sigmapharm Labo,1075107.8,36172,984,454,29.72209997,1092.589228,2368.078855,2013
Adempas,Riociguat,"Bayer,Pharm Div",1419291.79,16470,184,141,86.18078221,7713.542337,10065.89922,2013
Adrenalin,Epinephrine,Par Pharmaceuti, , , , , , , ,2013
Advair Diskus,Fluticasone/Salmeterol,Glaxosmithkline,2262995221,492962519.6,6605423,1527221,4.594574554,342.5965636,1481.773248,2013
Advair HFA,Fluticasone/Salmeterol,Glaxosmithkline,122441763.3,4972281.8,349136,100672,24.61972169,350.6993357,1216.24447,2013
Advocate Pen Needles,"Pen Needle, Diabetic",Diabetic Supply,377265.73,1303360,5921,4267,0.290960854,63.71655633,88.41474807,2013
Advocate Syringes,"Syring-Needl,Disp,Insul,0.3 Ml",Diabetic Supply,127468.56,427930,1940,1273,0.297885291,65.7054433,100.1324116,2013
Advocate Syringes,"Syringe And Needle,Insulin,1ml",Diabetic Supply,187539.16,626615,2740,1653,0.299741517,68.44494891,113.4538173,2013
Advocate Syringes,"Syringe-Needle,Insulin,0.5 Ml",Diabetic Supply,138188.7,461020,2156,1252,0.299892051,64.09494434,110.374361,2013
Adzenys XR-ODT,Amphetamine,Neos Therapeuti, , , , , , , ,2013
Aerospan,Flunisolide,Meda/Mylan Spec, , , , , , , ,2013
Afeditab Cr,Nifedipine,Actavis Pharma/,2420909.97,2954354,67831, ,0.812799938,35.69031814, ,2013
Afinitor,Everolimus,Novartis,274314552.5,941564,32061,7557,291.681044,8556.019852,36299.39824,2013
Afrezza,"Insulin Regular, Human",Mannkind Corpor, , , , , , , ,2013
Aggrenox,Aspirin/Dipyridamole,Boehringer Ing.,321026929.6,72358517.71,1005862,159850,4.436615615,319.1560369,2008.301092,2013
Agrylin,Anagrelide HCl,Shire US Inc.,236612.23,34327,287,60,6.892889854,824.4328571,3943.537167,2013
Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,Akorn Inc.,217170.51,36897.25,10082,6428,5.88581832,21.54041956,33.78508245,2013
Akynzeo,Netupitant/Palonosetron HCl,Eisai Inc., , , , , , , ,2013
Ala-Scalp,Hydrocortisone,Crown Laborator,11345.13,2932,78,58,3.86941678,145.4503846,195.6056897,2013
Albenza,Albendazole,Amedra Pharmace,4333797.32,94535,7193,5619,45.8433101,602.5020603,771.2755508,2013
Albuterol Sulfate*,Albuterol Sulfate,Actavis Pharma/,1022768.1,7097009.93,52144, ,0.150531778,19.61430078, ,2013
Albuterol Sulfate*,Albuterol Sulfate,Hi-Tech/Akorn C*,340907.11,3266415.73,25372,11178,0.358518361,13.43635149,30.49804169,2013
Albuterol Sulfate*,Albuterol Sulfate,Mutual Pharm Co,9695315.78,4561553.5,53611,15518,2.125650002,180.8456432,624.7786944,2013
Albuterol Sulfate*,Albuterol Sulfate,Mylan Instituti,466531.19,189619,2677,1018,2.461350109,174.273885,458.282112,2013
Albuterol Sulfate*,Albuterol Sulfate,Mylan*,11818645.31,24891929.66,256763,78094,0.529997589,46.02939407,151.3387112,2013
Albuterol Sulfate*,Albuterol Sulfate,Nephron Corp,5405731.52,47758513.22,375928,127923,0.115479084,14.37969909,42.25769815,2013
Albuterol Sulfate*,Albuterol Sulfate,Qualitest/Par P,273649.42,246751,3343, ,1.109010379,81.85743943, ,2013
Albuterol Sulfate*,Albuterol Sulfate,Ritedose Pharma,356247.53,3324576,18333,8945,0.107155779,19.43203676,39.82644271,2013
Albuterol Sulfate*,Albuterol Sulfate,Sandoz,276134.75,2217777,19983,9398,0.124509701,13.81848321,29.38228879,2013
Albuterol Sulfate*,Albuterol Sulfate,Teva USA,86585.85,2111253.501,7338,4490,0.041011584,11.79965249,19.28415368,2013
Albuterol Sulfate*,Albuterol Sulfate,Valeant,68244.92,107164,4420,1316,0.63682692,15.44002715,51.85784195,2013
Albuterol Sulfate*,Albuterol Sulfate,Vistapharm, , , , , , , ,2013
Alclometasone Dipropionate,Alclometasone Dipropionate,Fougera/Sandoz,246476.5,243512.848,5680,4015,1.002940667,43.39375,61.38891656,2013
Alclometasone Dipropionate,Alclometasone Dipropionate,Glenmark Pharma,797383.82,751087.6,17525,12357,1.061921646,45.49979001,64.5289164,2013
Alclometasone Dipropionate,Alclometasone Dipropionate,Taro Pharm USA,618373.69,508027.6,11456,7512,1.217138856,53.97815031,82.31811635,2013
Alcohol Pads,Alcohol Antiseptic Pads,Global Diabetic,5071.76,53740,421,160,0.094375884,12.04693587,31.6985,2013
Alcohol Pads,Alcohol Antiseptic Pads,Home Aide Diagn,1398063.85,8380131,68520,23665,0.166830787,20.40373395,59.07728079,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,CVS, , , , , , , ,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Chain Drug Cons,6301.23,250306,2360,981,0.025174107,2.670012712,6.423272171,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Home Aide Diagn, , , , , , , ,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Kroger/Medline, , , , , , , ,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Leader,78627.21,2989202,27591,8466,0.026303746,2.84974122,9.287409639,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Major Pharmaceu,103651.67,3269605.01,28913,10462,0.031701588,3.584950368,9.907443128,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Mckesson Drug,264.87,13000,77,22,0.020374615,3.43987013,12.03954546,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Medicore,2584.68,51491,522,185,0.050196733,4.951494253,13.97124324,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,One Pharmaceuti,21888.69,553125,2722,909,0.039572773,8.041399706,24.079967,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Phoenix Healthc, , , , , , , ,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Rugby,10120.76,267680,2418,1173,0.037809175,4.185591398,8.628098892,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Simple Diagnost,180575.17,2045332,10895,7650,0.088286484,16.57413217,23.60459739,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Specialty Med,3309854.03,28653526,127891,47059,0.115512975,25.88027328,70.33413438,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Sunmark,87042.15,2685927,24719,8074,0.032406745,3.521265019,10.78054868,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Walgreen Co., , , , , , , ,2013
Alcohol Prep Swabs,Alcohol Antiseptic Pads,Amerisourceberg,27011.19,856540,7491,2410,0.031535235,3.605818983,11.20796266,2013
Alcohol Swab,Alcohol Antiseptic Pads,Amerisourceberg,25339.6,818937,7191,2735,0.030942063,3.523793631,9.264936015,2013
Alcohol Swab,Alcohol Antiseptic Pads,Good Neighbor,637.43,14400,103,56,0.044265972,6.188640777,11.38267857,2013
Alcohol Swabs,Alcohol Antiseptic Pads,CVS,31759.59,1475006,11932,5451,0.021531838,2.661715555,5.826378646,2013
Alcohol Swabs,Alcohol Antiseptic Pads,Chain Drug,4099.13,144617,1312,390,0.028344731,3.12433689,10.51058974,2013
Alcohol Swabs,Alcohol Antiseptic Pads,Perrigo Diabete, , , , , , , ,2013
Alcohol Swabs,Alcohol Antiseptic Pads,Rite Aid Corp.,23207.46,898894,7682,3900,0.025817794,3.021017964,5.950630769,2013
Alcohol Swabs,Alcohol Antiseptic Pads,Target Corp,2005.18,83976,817,251,0.023878013,2.454320685,7.98876494,2013
Alcohol Swabs,Alcohol Antiseptic Pads,Ultimed Inc, , , , , , , ,2013
Alcohol Swabs,Alcohol Antiseptic Pads,Wal-Mart Stores, , , , , , , ,2013
Alcohol Swabs,Alcohol Antiseptic Pads,Walgreen Co.,74590.19,3046849,22614,12341,0.024481092,3.298407624,6.044096102,2013
Alcohol Wipes,Alcohol Antiseptic Pads,Amerisourceberg, , , , , , , ,2013
Alcohol Wipes,Alcohol Antiseptic Pads,Medicine Shop,8856.74,331683,3130,952,0.026702424,2.829629393,9.303298319,2013
Alcohol Wipes,Alcohol Antiseptic Pads,Rite Aid Corp.,801.01,12900,119,77,0.062093798,6.731176471,10.40272727,2013
Aldactazide,Spironolact/Hydrochlorothiazid,Pharmaci/Pfizer,473628.37,236600,4126, ,2.013226154,114.7911706, ,2013
Aldactone,Spironolactone,Pharmaci/Pfizer,413467.73,249678,3606, ,1.599518423,114.6610455, ,2013
Aldara,Imiquimod,Valeant,284966.11,11294.75,665,470,25.22996171,428.5204662,606.3108723,2013
Aldurazyme,Laronidase,Genzyme,1408265.56,8760,38,,160.7609087,37059.62,,2013
Alecensa,Alectinib HCl,"Genentech, Inc.", , , , , , , ,2013
Alendronate Sodium,Alendronate Sodium,Actavis Pharma/,31881279.41,17562624.9,2370325, ,1.816231555,13.4501722, ,2013
Alendronate Sodium,Alendronate Sodium,Actavis/Impax G,29259993.42,14936363.09,2217412, ,2.119596504,13.19556015, ,2013
Alendronate Sodium,Alendronate Sodium,Apotex Corp,295728.19,150245,32009,14379,1.968306366,9.238907495,20.56667293,2013
Alendronate Sodium,Alendronate Sodium,Aurobindo Pharm,3907580.04,2324998.58,204763,67429,1.741917134,19.08342835,57.95103057,2013
Alendronate Sodium,Alendronate Sodium,"Cipla USA, Inc.", , , , , , , ,2013
Alendronate Sodium,Alendronate Sodium,Impax Generics, , , , , , , ,2013
Alendronate Sodium,Alendronate Sodium,Jubilant Cadist,4876703.56,2382473,416897,83699,2.04732302,11.6976221,58.26477688,2013
Alendronate Sodium,Alendronate Sodium,Mylan,5043941.29,3041860.112,472035,102530,1.894800165,10.68552393,49.19478484,2013
Alendronate Sodium,Alendronate Sodium,Mylan Instituti,66487.02,31269.126,6832,1689,2.367070823,9.731706675,39.36472469,2013
Alendronate Sodium,Alendronate Sodium,Northstar Rx Ll,10076752.2,6008254.02,885538,223614,1.758672819,11.37924313,45.06315436,2013
Alendronate Sodium,Alendronate Sodium,Sun Pharma Glob,11455128.68,6362949.428,1094164,251125,1.800037713,10.46929773,45.61524611,2013
Alendronate Sodium,Alendronate Sodium,Sun Pharmaceuti, , , , , , , ,2013
Alendronate Sodium,Alendronate Sodium,Tagi Pharma,27330.06,106859,313,144,0.255758149,87.31648562,189.7920833,2013
Alendronate Sodium,Alendronate Sodium,Teva USA,6557.72,3809,855,278,1.721638225,7.669847953,23.58892086,2013
Alendronate Sodium,Alendronate Sodium,Virtus Pharmace, , , , , , , ,2013
Alfuzosin HCl ER,Alfuzosin HCl,Apotex Corp,4104755.07,3819505,82010,22098,1.074682471,50.05188477,185.7523337,2013
Alfuzosin HCl ER,Alfuzosin HCl,Aurobindo Pharm,52227.78,57050,1251,,0.915473795,41.74882494,,2013
Alfuzosin HCl ER,Alfuzosin HCl,Camber Pharmace,4506368.28,4265923,73784,24572,1.056364187,61.07514204,183.3944441,2013
Alfuzosin HCl ER,Alfuzosin HCl,"Cipla USA, Inc.", , , , , , , ,2013
Alfuzosin HCl ER,Alfuzosin HCl,Citron Pharma L, , , , , , , ,2013
Alfuzosin HCl ER,Alfuzosin HCl,Exelan Pharmace,1197.08,990,31,,1.209171717,38.61548387,,2013
Alfuzosin HCl ER,Alfuzosin HCl,Mylan,3485106.74,3103044,57092,15223,1.123125144,61.04369684,228.9369205,2013
Alfuzosin HCl ER,Alfuzosin HCl,Sun Pharma Glob,5500013.77,6354737,121657,30527,0.865498253,45.20918459,180.1688266,2013
Alfuzosin HCl ER,Alfuzosin HCl,Torrent Pharmac,4702968.06,3812302.5,66867,21363,1.233629299,70.33316973,220.145488,2013
Alimta,Pemetrexed Disodium,Eli Lilly & Co.,8228721.97,6253,1685,315,2055.963376,4883.514522,26122.92689,2013
Alinia,Nitazoxanide,Lupin Pharma, , , , , , , ,2013
Alinia,Nitazoxanide,Romark Laborato,1571083.91,63150,3682,2940,24.87860507,426.6930771,534.3822823,2013
Alkeran,Melphalan,Apopharma USA I,170330.41,19283,672,223,8.833190375,253.467872,763.8134978,2013
Allopurinol,Allopurinol,AHP,42024.2,178021.02,5711,1047,0.240388898,7.358466118,40.13772684,2013
Allopurinol,Allopurinol,Accord Healthca, , , , , , , ,2013
Allopurinol,Allopurinol,Actavis Pharma/,6097654.97,39361507.93,950761, ,0.156719592,6.413446671, ,2013
Allopurinol,Allopurinol,Dr.Reddy'S Lab,92325.44,671675,15853,4274,0.140317832,5.823846591,21.60164717,2013
Allopurinol,Allopurinol,Ingenus Pharmac, , , , , , , ,2013
Allopurinol,Allopurinol,Mylan,16879630.3,117901391.8,2081202,451464,0.14520318,8.11051993,37.38865181,2013
Allopurinol,Allopurinol,Mylan Instituti,40124.45,192231,6012,1120,0.21209744,6.674060213,35.82540179,2013
Allopurinol,Allopurinol,Northstar Rx Ll,1432.49,14084,173,169,0.102253464,8.280289017,8.476272189,2013
Allopurinol,Allopurinol,Qualitest/Par P,28287004.71,195747404.7,2963705, ,0.147586964,9.544473796, ,2013
Allopurinol,Allopurinol,Ranbaxy/Sun Pha,1832712.39,14809769,194830,77325,0.124397833,9.406725812,23.70142115,2013
Allopurinol,Allopurinol,Sun Pharmaceuti,76865.29,520665.5,12669, ,0.151338699,6.067194727, ,2013
Allzital,Butalbital/Acetaminophen,Skylar Laborato, , , , , , , ,2013
Almotriptan Malate,Almotriptan Malate,Ajanta Pharma L, , , , , , , ,2013
Almotriptan Malate,Almotriptan Malate,Mylan, , , , , , , ,2013
Almotriptan Malate,Almotriptan Malate,Patriot Pharmac, , , , , , , ,2013
Alocril,Nedocromil Sodium,Allergan Inc.,696433.96,25695,4132,1954,27.10387079,168.5464569,356.4145138,2013
Alogliptin,Alogliptin Benzoate,Perrigo Co., , , , , , , ,2013
Alogliptin-Metformin,Alogliptin Benz/Metformin HCl,Perrigo Co., , , , , , , ,2013
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,Perrigo Co., , , , , , , ,2013
