Brand Name,Generic Name,Manufacturer,Total Spending,Total Dosage Units,Total Claims,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Year
Acetaminophen-Codeine,Acetaminophen With Codeine,Amneal Pharmace,153892.54,725174.001,21697,0.212214641,7.092802692,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Aurobindo Pharm, , , , , ,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Hi-Tech/Akorn C,1853332.41,39267372.45,295761,0.04719777,6.26631777,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Mallinckrodt Ph,1305464.35,5008919.376,134571,0.257990313,9.700933708,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Mckesson Packag,51087.06,36249.501,2988,1.409317607,17.09740964,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Morton Grove Ph,546606.44,12078154.45,87631,0.045255792,6.237592176,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Mylan Instituti,18914.76,5564.003,1498,3.399487743,12.62667557,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Pharmaceutical,391195.47,4370301.963,34876,0.170795275,11.21675278,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Qualitest/Par P,6745408,27918950.76,935751,0.239357137,7.208550138,2013
Acetaminophen-Codeine,Acetaminophen With Codeine,Teva USA,5285145.5,22712636.99,673641,0.228764232,7.845641076,2013
Acetazolamide,Acetazolamide,Ahp,18627.16,13806.6,228,1.873880923,81.69807018,2013
Acetazolamide,Acetazolamide,Heritage Pharma,1360609.41,495605.091,7972,2.745349946,170.6735336,2013
Acetazolamide,Acetazolamide,Lannett Co. Inc,1260139.45,2134832.141,28757,0.59027566,43.82026811,2013
Acetazolamide,Acetazolamide,Taro Pharm USA,1083535.41,1853189.755,25569,0.583234299,42.37691775,2013
Acetazolamide,Acetazolamide,Teva USA,806565.59,286551.27,4616,2.814733957,174.7325802,2013
Acetazolamide,Acetazolamide,Zydus Pharmaceu,2133480.88,821564.446,13309,2.59685152,160.3036201,2013
Acetazolamide Sodium,Acetazolamide Sodium,X-Gen Pharmaceu,6819.31,174.6,101,39.05675831,67.51792079,2013
Acetazolamide Sodium,Acetazolamide Sodium,X-Gen/Novaplus,739.09,23,18,32.13434783,41.06055556,2013
Acetic Acid*,Acetic Acid,B.Braun,4245,798750,429,0.005314554,9.895104895,2013
Acetic Acid*,Acetic Acid,Baxter Healthca,15500.14,2693701.5,1556,0.005754216,9.961529563,2013
Acetic Acid*,Acetic Acid,Hi-Tech/Akorn C,75425.91,41305,2614,1.826072146,28.85459449,2013
Acetic Acid*,Acetic Acid,Hospira/Icu Med,42996.71,4122443,2864,0.01042991,15.01281774,2013
Acetic Acid*,Acetic Acid,Morton Grove Ph,163030.1,86334.53,5532,1.888353362,29.47037238,2013
Acetic Acid*,Acetic Acid,Qualitest/Par P,163444.1,86154.31,5634,1.897108804,29.01031239,2013
Acetic Acid-Aluminum,Acetic Acid/Aluminum Acetate,Valeant,80165.1,84451.825,1411,0.949240588,56.81438696,2013
Acetylcysteine*,Acetylcysteine,Akorn Inc., , , , , ,2013
Acetylcysteine*,Acetylcysteine,Amer. Regent,108309.61,162836.955,2294,0.665738094,47.21430253,2013
Acetylcysteine*,Acetylcysteine,App/Fresenius K*,268048.25,261983.9,2390,0.865925,112.1540795,2013
Acetylcysteine*,Acetylcysteine,Hospira/Pfizer,47602.67,156265.79,1887,0.305262187,25.22664017,2013
Acetylcysteine*,Acetylcysteine,Paddock/Novaplu, , , , , ,2013
Acetylcysteine*,Acetylcysteine,Perrigo Co.,388576.63,62946.25,410,6.173149791,947.7478781,2013
Acidophilus-Pectin,Lactobacillus Acidophilus/Pect,Major Pharmaceu,895.8,10132,198,0.088412949,4.524242424,2013
Aciphex,Rabeprazole Sodium,Eisai Inc.,27115198.55,2595814.965,68370,10.44573628,396.5949766,2013
Aciphex Sprinkle,Rabeprazole Sodium,Avadel Pharmace, , , , , ,2013
Acitretin,Acitretin,Actavis/Impax G, , , , , ,2013
Acitretin,Acitretin,Mylan, , , , , ,2013
Acitretin,Acitretin,Prasco Labs,776374.18,28405,794,27.42708475,977.8012343,2013
Acitretin,Acitretin,Sigmapharm Labo, , , , , ,2013
Acitretin,Acitretin,Teva USA,985197.75,36132,1022,27.396798,963.9899707,2013
Actemra*,Tocilizumab,"Genentech, Inc.*",10112608.14,174870.288,8382,59.3325816,1206.467208,2013
Actigall,Ursodiol,Actavis/Allerga,44720.88,7951.1,150,5.624489693,298.1392,2013
Actimmune,"Interferon Gamma-1b,Recomb.",Horizon Pharma,352342.79,102,17,3454.341078,20726.04647,2013
Activase,Alteplase,"Genentech, Inc.",2626933.7,810.09,2143,2829.237199,1225.820672,2013
Active Fe,"Iron,Carbonyl/Folic Acid/Mv-Mn",Allegis Pharmac, , , , , ,2013
Active Fe,"Iron,Carbonyl/Folic Acid/Mv-Mn",G.M. Pharm, , , , , ,2013
Actonel,Risedronate Sodium,Actavis/Allerga,4723217.77,95391.989,31974,75.88659732,147.7205783,2013
Actoplus Met XR,Pioglitazone HCl/Metformin HCl,Takeda Pharmace,440362.89,60448,1326,7.796959317,332.0987104,2013
Actos,Pioglitazone HCl,Takeda Pharmace,17046223.36,1736578.231,51182,9.832613031,333.0511383,2013
Acular,Ketorolac Tromethamine,Allergan Inc.,125650.37,4064,739,30.917906,170.0275643,2013
Acuvail,Ketorolac Tromethamine/PF,Allergan Inc.,74707.02,7339.2,409,10.17917757,182.6577506,2013
Acyclovir Sodium,Acyclovir Sodium,App/Fresenius K,159733.79,94964.059,1138,1.682044678,140.3636116,2013
Acyclovir Sodium,Acyclovir Sodium,Auromedics Phar, , , , , ,2013
Acyclovir*,Acyclovir,Actavis Pharma/*,1295020.41,6082403.819,33299,0.2129126,38.89066969,2013
Acyclovir*,Acyclovir,Ahp, , , , , ,2013
Acyclovir*,Acyclovir,Amneal Pharmace, , , , , ,2013
Acyclovir*,Acyclovir,Apotex Corp,987830.98,2871353.327,65973,0.351864518,14.97326149,2013
Acyclovir*,Acyclovir,Camber Pharmace, , , , , ,2013
Acyclovir*,Acyclovir,Carlsbad Tech,1546543.38,4936818.495,114357,0.321915781,13.52381909,2013
Acyclovir*,Acyclovir,Heritage Pharma,61528.56,294596.249,6074,0.215527534,10.12982549,2013
Acyclovir*,Acyclovir,Hi-Tech/Akorn C,1912646.12,8808118.817,49866,0.217145813,38.35571572,2013
Acyclovir*,Acyclovir,Major Pharmaceu, , , , , ,2013
Acyclovir*,Acyclovir,Mckesson Packag, , , , , ,2013
Acyclovir*,Acyclovir,Mylan Instituti, , , , , ,2013
Acyclovir*,Acyclovir,Mylan*,10136272.03,5234580.637,130217,3.395362736,77.84138807,2013
Acyclovir*,Acyclovir,Qualitest/Par P,488606.77,1405047.958,32674,0.347750956,14.95399308,2013
Acyclovir*,Acyclovir,Quinn Pharmaceu, , , , , ,2013
Acyclovir*,Acyclovir,Ranbaxy Pharmac,571199.81,1376706.33,41960,0.414903162,13.6129602,2013
Acyclovir*,Acyclovir,Ranbaxy/Sun Pha,624033.97,1398393.606,38027,0.454177755,16.41028664,2013
Acyclovir*,Acyclovir,Renaissance/Myl, , , , , ,2013
Acyclovir*,Acyclovir,Teva USA,4152778.3,13354078.65,294403,0.322246532,14.10576081,2013
Acyclovir*,Acyclovir,Zydus Pharmaceu, , , , , ,2013
Aczone,Dapsone,Allergan Inc.,1339138.84,226310.001,4687,5.917276453,285.7134286,2013
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",Sanofi-Pasteur, , , , , ,2013
Adagen,PEGademase Bovine,Sigma-Tau/Leadi,7066471.45,3442.5,175,2052.715018,40379.83686,2013
Adapalene,Adapalene,Actavis Pharma/, , , , , ,2013
Adapalene,Adapalene,Fougera/Sandoz,431845.23,107204.955,2378,4.028220804,181.6001808,2013
Adapalene,Adapalene,Glenmark Pharma,344316.93,116150,2582,2.9644161,133.3528002,2013
Adapalene,Adapalene,Perrigo Co.,2063491.15,521172.575,11519,3.959324126,179.1380458,2013
Adapalene,Adapalene,Prasco Labs, , , , , ,2013
Adapalene,Adapalene,Sandoz, , , , , ,2013
Adapalene,Adapalene,Taro Pharm USA,761058.02,257786.5,5695,2.952280356,133.6361756,2013
Adapalene,Adapalene,Teva USA,1545678.29,535230,11853,2.887876782,130.4039728,2013
Adcetris,Brentuximab Vedotin,Seattle Genetic,7404500.6,1679.52,643,4408.700462,11515.55303,2013
Adcirca,Tadalafil,Eli Lilly & Co.,16270167.26,597616.88,11063,27.22507982,1470.683111,2013
Adderall,Dextroamphetamine/Amphetamine,Teva USA, , , , , ,2013
Adderall XR,Dextroamphetamine/Amphetamine,Shire US Inc.,377512240.4,51845197.01,1519701,7.28194411,248.4121813,2013
Addyi,Flibanserin,Sprout Pharmace, , , , , ,2013
Adefovir Dipivoxil,Adefovir Dipivoxil,Sigmapharm Labo,886816.16,29995,1011,29.56546624,877.1673195,2013
Adempas,Riociguat,"Bayer,Pharm Div",138855.81,1620,18,85.71346296,7714.211667,2013
Adenocard,Adenosine,Astellas Pharma,31666.41,929,214,34.08655544,147.9738785,2013
Adenoscan,Adenosine,Astellas Pharma,1604360.95,139001.068,6634,11.54207643,241.8391544,2013
Adenosine,Adenosine,Akorn Inc.,52646.64,4118,209,12.78451676,251.897799,2013
Adenosine,Adenosine,App/Fresenius K,97314.96,5022.334,693,19.37644131,140.4256277,2013
Adenosine,Adenosine,Sagent Pharmace,64480.18,2900.78,444,22.22856611,145.2256306,2013
Adenosine,Adenosine,Teva Parenteral,4622.17,278,15,16.62651079,308.1446667,2013
Adrenalin,Epinephrine,Par Pharmaceuti,56.38,39.1,12,1.441943734,4.698333333,2013
Adriamycin,Doxorubicin HCl,Bedford Labs,87246.01,20731.5,578,4.208379037,150.944654,2013
Adrucil,Fluorouracil,Teva Parenteral,383632.02,482340.582,7872,1.219095846,48.73374238,2013
Advair Diskus,Fluticasone/Salmeterol,Glaxosmithkline,580241321,125291442,2077418,4.630347589,279.3088926,2013
Advair HFA,Fluticasone/Salmeterol,Glaxosmithkline,95046957.86,3947839.608,329133,24.06695572,288.7797877,2013
Advate,"Antihemophil.FVIII,Full Length",Baxalta US Inc., , , , , ,2013
Adynovate,"Antihemo.FVIII,Full Length PEG",Baxalta US Inc., , , , , ,2013
Adzenys XR-ODT,Amphetamine,Neos Therapeuti, , , , , ,2013
Aerochamber Plus Flow-Vu,"Inhaler, Assist Devices",Allergan Inc.,807254.2,17442,20125,46.28220388,40.11200994,2013
Aerospan,Flunisolide,Meda Pharmaceut, , , , , ,2013
Aerospan,Flunisolide,Meda/Mylan Spec, , , , , ,2013
Afeditab Cr,Nifedipine,Actavis Pharma/,210801.37,248659,6669,0.852969388,31.6091423,2013
Afinitor,Everolimus,Novartis,55448479.86,196550.178,7018,282.9603911,7900.894822,2013
Afinitor Disperz,Everolimus,Novartis,367534.62,1257.001,38,294.3425502,9671.963684,2013
Afrin,Oxymetazoline HCl,S-P Healthcare,403,806,58,0.5,6.948275862,2013
Aggrastat,Tirofiban-0.9% Sodium Chloride,Medicure Intern,12007.52,2206,15,5.79130484,800.5013333,2013
Aggrenox,Aspirin/Dipyridamole,Boehringer Ing.,14488530.86,3213809.553,55983,4.508210776,258.8023304,2013
Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,Akorn Inc.,72872.38,12731.785,3560,5.723657759,20.46976966,2013
Akten,Lidocaine HCl/PF,Akorn Inc.,7219.07,699,13,10.32771102,555.3130769,2013
Akynzeo,Netupitant/Palonosetron HCl,Eisai Inc., , , , , ,2013
Albenza,Albendazole,Amedra Pharmace,9005460.16,194538.959,43858,46.29129407,205.3322121,2013
Albuked-25,Albumin Human,Kedrion Biophar,3044.69,2300,11,1.323778261,276.79,2013
Albumin (Human),Albumin Human,Grifols,81378.63,39074,96,2.082679787,847.6940625,2013
Albumin (Human),Albumin Human,Octapharma USA,61121.25,54100.4,100,1.129774456,611.2125,2013
Albuminar-25,Albumin Human,CSL Behring LLC,227924.1,115505.1,578,1.973281699,394.3323529,2013
Albuminar-5,Albumin Human,CSL Behring LLC,35696.08,26351,54,1.354638534,661.0385185,2013
Alburx,Albumin Human,CSL Behring LLC,201783.37,1160445.002,759,0.938571786,265.8542424,2013
Albutein,Albumin Human,Grifols,225167.97,128558,345,1.73575606,652.6607826,2013
Albuterol Sulfate*,Albuterol Sulfate,Actavis Pharma/*,18708223.13,133794356.1,854534,0.154127345,21.89289499,2013
Albuterol Sulfate*,Albuterol Sulfate,Hi-Tech/Akorn C*,1290501.16,11004870.88,117338,0.350290969,10.99815201,2013
Albuterol Sulfate*,Albuterol Sulfate,Mutual Pharm Co,1414207.71,880252.998,14552,1.609354069,97.18304769,2013
Albuterol Sulfate*,Albuterol Sulfate,Mylan*,25253134.82,160194789.1,1134044,0.170900345,22.2682143,2013
Albuterol Sulfate*,Albuterol Sulfate,Nephron Corp,39679191.45,381531008.7,2355492,0.172483082,16.84539427,2013
Albuterol Sulfate*,Albuterol Sulfate,Qualitest/Par P,1114840.67,26808440.06,205531,0.041585436,5.424197177,2013
Albuterol Sulfate*,Albuterol Sulfate,Ritedose Pharma,17049842.21,201689847.3,1183605,0.084534955,14.4050103,2013
Albuterol Sulfate*,Albuterol Sulfate,Sandoz,1111976.26,14257555.32,94711,0.077992071,11.7407298,2013
Albuterol Sulfate*,Albuterol Sulfate,Teva USA,469833.67,10807399.77,74459,0.043473331,6.309964813,2013
Albuterol Sulfate*,Albuterol Sulfate,Valeant,309571.46,624524.32,23272,0.495691601,13.30231437,2013
Albuterol Sulfate*,Albuterol Sulfate,Vistapharm, , , , , ,2013
Alcaine,Proparacaine HCl,Alcon (P.R.),8447.02,973.4,224,8.677850832,37.70991071,2013
Alclometasone Dipropionate,Alclometasone Dipropionate,Fougera/Sandoz,139251.02,166343.24,3807,0.838358801,36.57762543,2013
Alclometasone Dipropionate,Alclometasone Dipropionate,Glenmark Pharma,694387.06,775846.702,17927,0.895060823,38.73414738,2013
Alclometasone Dipropionate,Alclometasone Dipropionate,Taro Pharm USA,303464.65,307767.861,7443,0.990943614,40.77181916,2013
Alcohol Prep Pads,Alcohol Antiseptic Pads,Sunmark,6459.63,271580,2551,0.023785367,2.532195218,2013
Alcohol Swabs,Alcohol Antiseptic Pads,Perrigo Diabete, , , , , ,2013
"Alcohol,Dehydrated",Ethyl Alcohol,Akorn Inc.,395448.92,39007.401,5384,10.13779206,73.44890788,2013
"Alcohol,Dehydrated",Ethyl Alcohol,Amer. Regent,70929.99,8075.76,1325,8.783073048,53.53206793,2013
Aldactazide,Spironolact/Hydrochlorothiazid,Pharmaci/Pfizer,82439.18,35464.558,912,2.324551176,90.39383772,2013
Aldactone,Spironolactone,Pharmaci/Pfizer,17831.43,11870,186,1.506499722,95.86790323,2013
Aldara,Imiquimod,Valeant,648209.33,23687.432,1870,27.36511624,346.6360054,2013
Aldurazyme,Laronidase,Genzyme,10322120.33,13087.532,1640,788.6987654,6293.975811,2013
Alecensa,Alectinib HCl,"Genentech, Inc.", , , , , ,2013
Alendronate Sodium,Alendronate Sodium,Actavis Pharma/,2388293.78,1085748.379,257485,2.199596176,9.27546762,2013
Alendronate Sodium,Alendronate Sodium,Actavis/Impax G,1878000.7,1085356.111,203367,2.031124237,9.234540019,2013
Alendronate Sodium,Alendronate Sodium,Apotex Corp,37513.46,23151.996,4657,1.900861622,8.055284518,2013
Alendronate Sodium,Alendronate Sodium,Aurobindo Pharm,62057.71,29844.012,7477,2.080747945,8.299814097,2013
Alendronate Sodium,Alendronate Sodium,"Cipla USA, Inc.", , , , , ,2013
Alendronate Sodium,Alendronate Sodium,Jubilant Cadist,547330.16,271754.221,64344,2.014220469,8.506312321,2013
Alendronate Sodium,Alendronate Sodium,Mylan,505245.56,288584.698,55655,2.092890671,9.078170155,2013
Alendronate Sodium,Alendronate Sodium,Mylan Instituti,3313.17,1295,341,2.558432432,9.716041056,2013
Alendronate Sodium,Alendronate Sodium,Northstar Rx Ll,607533.98,336897.476,72133,1.961700279,8.422413874,2013
Alendronate Sodium,Alendronate Sodium,Sun Pharma Glob,1018773.72,541577.244,128232,1.880994222,7.944769792,2013
Alendronate Sodium,Alendronate Sodium,Sun Pharmaceuti, , , , , ,2013
Alendronate Sodium,Alendronate Sodium,Tagi Pharma,4940.94,19654,68,0.251396154,72.66088235,2013
Alendronate Sodium,Alendronate Sodium,Virtus Pharmace, , , , , ,2013
Alfentanil HCl,Alfentanil HCl,Hospira/Pfizer,23518.76,239,116,98.40485356,202.747931,2013
Alfuzosin HCl ER,Alfuzosin HCl,Apotex Corp,71724.42,87634.67,2828,0.818447996,25.36224187,2013
Alfuzosin HCl ER,Alfuzosin HCl,Camber Pharmace,56163.03,68569.06,2125,0.81907248,26.42966118,2013
Alfuzosin HCl ER,Alfuzosin HCl,"Cipla USA, Inc.", , , , , ,2013
Alfuzosin HCl ER,Alfuzosin HCl,Citron Pharma L, , , , , ,2013
Alfuzosin HCl ER,Alfuzosin HCl,Mylan,59023.56,63796.94,1996,0.925178543,29.57092184,2013
Alfuzosin HCl ER,Alfuzosin HCl,Sun Pharma Glob,140926.81,164685.965,5338,0.855730542,26.40067628,2013
Alfuzosin HCl ER,Alfuzosin HCl,Torrent Pharmac,72635.11,84374.06,2730,0.860870154,26.6062674,2013
Alimta,Pemetrexed Disodium,Eli Lilly & Co.,55245196.28,57160.34,12738,1517.033265,4337.03849,2013
Alinia,Nitazoxanide,Lupin Pharma,28046.83,11880,124,2.360844276,226.1841129,2013
Alinia,Nitazoxanide,Romark Laborato,413443.8,16688.006,1214,24.7749072,340.5632619,2013
Alkeran,Melphalan,Apopharma USA I,130050.37,15574.5,573,8.350211564,226.9639965,2013
All Day Allergy,Cetirizine HCl,Sunmark,8708.6,156953,1045,0.0554854,8.333588517,2013
Allergy Relief,Diphenhydramine HCl,Sunmark, , , , , ,2013
Allopurinol,Allopurinol,Accord Healthca, , , , , ,2013
Allopurinol,Allopurinol,Actavis Pharma/,536805.96,3416617.508,88406,0.161496089,6.072053481,2013
Allopurinol,Allopurinol,Ahp,16490.97,12762.5,429,2.36726998,38.44048951,2013
Allopurinol,Allopurinol,Dr.Reddy'S Lab,12268.55,93675.79,2360,0.137529667,5.198538136,2013
Allopurinol,Allopurinol,Ingenus Pharmac, , , , , ,2013
Allopurinol,Allopurinol,Mylan,1227140.67,8618327.638,212779,0.146032662,5.767207619,2013
Allopurinol,Allopurinol,Mylan Instituti,19910.81,8172.1,441,2.276146597,45.14922903,2013
Allopurinol,Allopurinol,Northstar Rx Ll, , , , , ,2013
Allopurinol,Allopurinol,Qualitest/Par P,1134587.28,8347147.543,214244,0.139956127,5.29577155,2013
Allopurinol,Allopurinol,Ranbaxy/Sun Pha,42995.77,293076.56,7819,0.15028432,5.498883489,2013
Allopurinol,Allopurinol,Sun Pharmaceuti,10121.32,81244.09,2119,0.130957726,4.776460595,2013
Almotriptan Malate,Almotriptan Malate,Ajanta Pharma L, , , , , ,2013
Almotriptan Malate,Almotriptan Malate,Mylan, , , , , ,2013
Almotriptan Malate,Almotriptan Malate,Patriot Pharmac, , , , , ,2013
Alocril,Nedocromil Sodium,Allergan Inc.,80334.32,3130,614,25.66591693,130.8376547,2013
Alogliptin,Alogliptin Benzoate,Perrigo Co., , , , , ,2013
Alogliptin-Metformin,Alogliptin Benz/Metformin HCl,Perrigo Co., , , , , ,2013
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,Perrigo Co., , , , , ,2013
Alomide,Lodoxamide Tromethamine,Alcon/Novartis,208841.4,17450,1783,11.96798854,117.1292204,2013
Alora,Estradiol,Actavis/Allerga,224029.82,26723,3217,8.379112913,69.63935965,2013
Alosetron HCl,Alosetron HCl,Actavis Pharma/, , , , , ,2013
Alosetron HCl,Alosetron HCl,Roxane/West-War, , , , , ,2013
Aloxi,Palonosetron HCl,Eisai Inc.,42973448.22,886636.918,174223,48.46792114,246.6577215,2013
Alphagan P,Brimonidine Tartrate,Allergan Inc.,7486743.89,428426.002,64657,17.43680517,115.7916991,2013
Alphanate,Antihemophilic Factor/VWF,Grifols,40887377.17,44344416.8,1383,0.941552012,29564.26404,2013
Alphanine SD,Factor IX,Grifols,4418646.2,4614490,177,0.955865524,24964.10283,2013
Alprazolam,Alprazolam,Actavis Pharma/,8877217.73,76405456.36,1200823,0.115905744,7.392611342,2013
Alprazolam,Alprazolam,Ahp, , , , , ,2013
Alprazolam,Alprazolam,Bionpharma Inc., , , , , ,2013
Alprazolam,Alprazolam,Boca Pharmacal/,215868.84,1973674.62,28587,0.109217602,7.551293945,2013
Alprazolam,Alprazolam,Dava Pharmaceut,4628347.12,41798316.48,647282,0.10967684,7.150433845,2013
Alprazolam,Alprazolam,Greenstone LLC.,8698232.75,80140684.39,1158631,0.108572095,7.50733646,2013
Alprazolam,Alprazolam,Major Pharmaceu,35059.07,8775.1,680,6.11302691,51.55745588,2013
Alprazolam,Alprazolam,Mckesson Packag, , , , , ,2013
Alprazolam,Alprazolam,Mylan,1091858.43,10335909.44,142232,0.105791632,7.67660182,2013
Alprazolam,Alprazolam,Mylan Instituti,288581.33,18945.607,2744,13.8557036,105.1681232,2013
Alprazolam,Alprazolam,Qualitest/Par P,3073703.02,30212793.18,447364,0.101888534,6.870698179,2013
Alprazolam,Alprazolam,Sandoz,5701358.33,53237843.41,774146,0.107598529,7.364706825,2013
Alprazolam,Alprazolam,Sun Pharma Glob,2113425.32,19032515.57,285406,0.11140786,7.404978592,2013
Alprazolam ER,Alprazolam,Actavis Pharma/,381466.63,447849.011,10886,0.867047129,35.04194654,2013
Alprazolam ER,Alprazolam,Aurobindo Pharm,13107.53,16717,377,0.801239531,34.76798409,2013
Alprazolam ER,Alprazolam,Mylan,69560.28,98574.76,2211,0.705660151,31.46100407,2013
Alprazolam Intensol,Alprazolam,Roxane/West-War,37112.15,16248.5,384,2.284035449,96.64622396,2013
Alprazolam ODT,Alprazolam,Actavis Pharma/,129403.46,67572.02,1248,1.879909336,103.6886699,2013
Alprazolam ODT,Alprazolam,Par Pharm.,130818.41,78840.09,1477,1.610326581,88.57035207,2013
Alprazolam XR,Alprazolam,Greenstone LLC.,498913.66,539319.701,12390,0.950755123,40.26744633,2013
Alprolix,"Factor IX Rec, Fc Fusion Protn",Biogen-Idec, , , , , ,2013
Alprostadil,Alprostadil,Teva Parenteral,1091.76,44.88,12,24.32620321,90.98,2013
Alrex,Loteprednol Etabonate,Valeant,1960509.99,71343,11794,27.48006097,166.2294379,2013
Altabax,Retapamulin,Glaxosmithkline,182531.1,25726,1504,7.095199409,121.3637633,2013
Altace,Ramipril,Monarch Phrm,550109.36,165216.94,3521,3.320543152,156.2366828,2013
Altavera,Levonorgestrel-Ethin Estradiol,Sandoz,922645.05,1171392.898,35315,0.787647809,26.12615178,2013
Alvesco,Ciclesonide,Sunovion/Covis,1901062.64,68349.8,10054,27.82672012,189.0852039,2013
Alyacen,Norethindrone-Ethinyl Estrad,Glenmark Pharma,1148569.86,1450181.177,45942,0.790188904,25.00043228,2013
Amantadine,Amantadine HCl,Ahp, , , , , ,2013
Amantadine,Amantadine HCl,Banner Life Sci, , , , , ,2013
Amantadine,Amantadine HCl,Banner Pharmaca,170338.64,115924,2032,1.469399262,83.82807087,2013
Amantadine,Amantadine HCl,Bionpharma Inc., , , , , ,2013
Amantadine,Amantadine HCl,Hi-Tech/Akorn C,67496.64,1292139.941,4483,0.052236324,15.05613205,2013
Amantadine,Amantadine HCl,Morton Grove Ph,103794.32,2087470.445,6034,0.049722534,17.20157773,2013
Amantadine,Amantadine HCl,Mylan Instituti,24440.95,15422,271,1.58481066,90.18800738,2013
Amantadine,Amantadine HCl,Pharmaceutical,73731.63,1493360.688,4476,0.049372955,16.47266086,2013
Amantadine,Amantadine HCl,Sandoz,3420563.56,2373656.913,41768,1.441052218,81.89435836,2013
Amantadine,Amantadine HCl,Upsher Smith La,2093514.56,1363028.496,24873,1.536369141,84.16815664,2013
Amantadine,Amantadine HCl,Zydus Pharmaceu, , , , , ,2013
