Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Year
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older","Vaccine Pneumococcal Polysaccharide Injection Skin/Muscle, Age 2+ Years**", ,127242807.2,1997460.5,1995813,1971980,63.7022896,63.75487445,64.52540454,2013
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient","Vaccine Hepatitis B 3 Dose Injection Muscle,  Immunosuppressed**", ,11837038.17,97939,96797,42940,120.8613338,122.2872421,275.6646057,2013
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient","Vaccine Hepatitis B 2 Dose Injection Muscle, Adolescent**", ,16196.77,398,387,324,40.69540201,41.85211886,49.99003086,2013
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients","Vaccine Hepatitis B 3 Dose Injection Muscle, Pediatric/Adolescent**", ,79456.62,1729,1426,1084,45.95524581,55.71992987,73.29946495,2013
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,"Vaccine Hepatitis B 3 Dose Injection Muscle, Adult**", ,5553439.04,97938,94087,59813,56.70361902,59.02450966,92.84668952,2013
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient","Vaccine Hepatitis B 4 Dose Injection Muscle, Immunosuppressed**", ,17128725.87,144201,139226,62309,118.783683,123.0282122,274.8997074,2013
A9575,"Injection, gadoterate meglumine, 0.1 ml",Dotarem,Gadoterate Meglumine, , , , , , , ,2013
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Prohance Multipack,Gadoteridol,375974.63,200399.9,12589,11598,1.876121844,29.86532926,32.41719521,2013
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Multihance,Gadobenate Dimeglumine,2219758.74,931171,66248,59881,2.383835772,33.50680383,37.06950018,2013
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Multihance Multipack,Gadobenate Dimeglumine,153017.08,73551.5,6258,5555,2.080407334,24.45143496,27.54582898,2013
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Magnevist*,Gadopentetate Dimeglumine*,8975632.58,4926216.8,318081,285366,1.822013311,28.21807206,31.4530553,2013
A9581,"Injection, gadoxetate disodium, 1 ml",Eovist,Gadoxetate DIsodium,745607.49,49134.5,5090,4212,15.17482604,146.4847721,177.0198219,2013
A9585,"Injection, gadobutrol, 0.1 ml",Gadavist,Gadobutrol,2229296.74,5316658.7,77004,69058,0.41930409,28.9504018,32.28151322,2013
J0129,"Injection, abatacept, 10 mg",Orencia*,Abatacept*,290205707.1,12958445.5,171176,20790,22.39510188,1695.364462,13958.90847,2013
J0130,"Injection abciximab, 10 mg",Reopro,Abciximab,1425845.43,2716,1124,1066,524.979908,1268.545756,1337.566069,2013
J0132,"Injection, acetylcysteine, 100 mg",Acetadote*,Acetylcysteine*,549866.33,194697,1446,1342,2.82421573,380.2671715,409.7364605,2013
J0133,"Injection, acyclovir, 5 mg",Acyclovir Sodium,Acyclovir Sodium,197172.41,513049,486,154,0.384314968,405.7045473,1280.340325,2013
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenocard*,Adenosine*, , , , , , , ,2013
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Adrenalin*,Epinephrine*,3029.91,16869.9,9819,4989,0.179604503,0.30857623,0.6073181,2013
J0178,"Injection, aflibercept, 1 mg",Eylea,Aflibercept,1077060780,1115703.5,518628,108421,965.3647052,2076.750157,9934.060563,2013
J0180,"Injection, agalsidase beta, 1 mg",Fabrazyme,Agalsidase Beta,41440447.41,292945,3204,241,141.4615283,12933.97235,171952.0639,2013
J0202,"Injection, alemtuzumab, 1 mg",Lemtrada,Alemtuzumab, , , , , , , ,2013
J0207,"Injection, amifostine, 500 mg",Amifostine*,Amifostine Crystalline*,1482123.22,5006,3769,679,296.0693608,393.2404404,2182.802975,2013
J0221,"Injection, alglucosidase alfa, (lumizyme), 10 mg",Lumizyme,Alglucosidase Alfa,49427210.41,326423,1852,111,151.4207345,26688.55854,445290.1839,2013
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Aralast NP*,Alpha-1-Proteinase Inhibitor*,49181576.48,12543715,14815,695,3.920814247,3319.714916,70764.85825,2013
J0257,"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg",Glassia,Alpha-1-Proteinase Inhibitor,3593057.66,916761,1176,67,3.919295934,3055.32114,53627.72627,2013
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,26694.58,24754.9,3941,1294,1.078355396,6.773554935,20.62950541,2013
J0280,"Injection, aminophyllin, up to 250 mg",Aminophylline,Aminophylline,68912.86,78928.5,71006,67198,0.873104899,0.970521646,1.02551951,2013
J0285,"Injection, amphotericin b, 50 mg",Amphotericin B,Amphotericin B,4425.18,316.7,164,68,13.97278181,26.98280488,65.07617647,2013
J0287,"Injection, amphotericin b lipid complex, 10 mg",Abelcet,Amphotericin B Lipid Complex,634583.67,39745,1170,370,15.96637741,542.3792051,1715.091,2013
J0289,"Injection, amphotericin b liposome, 10 mg",AmbIsome,Amphotericin B Liposome,3248250.2,155452,2343,352,20.89551887,1386.363722,9227.983523,2013
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,41566.17,25410.5,6820,3896,1.635787175,6.094746334,10.66893481,2013
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam*,Ampicillin Sodium/Sulbactam Na*,18538.33,8118.5,2202,1211,2.283467389,8.418860127,15.30828241,2013
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,5813.83,998.5,873,787,5.822563846,6.659599084,7.387331639,2013
J0401,"Injection, aripiprazole, extended release, 1 mg",Abilify Maintena,Aripiprazole, , , , , , , ,2013
J0456,"Injection, azithromycin, 500 mg",Azithromycin*,Azithromycin*,12048.46,3496,2787,884,3.446355835,4.323092932,13.62947964,2013
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate,Atropine Sulfate,68322.16,2195518.9,50860,12144,0.031118912,1.34333779,5.626001318,2013
J0475,"Injection, baclofen, 10 mg",Gablofen (J0475)*,Baclofen*,26165901.53,146774.7,31912,10299,178.2725601,819.9392558,2540.625452,2013
J0476,"Injection, baclofen, 50 mcg for intrathecal trial",Gablofen (J0476)*,Baclofen*,567054,7963,594,536,71.21110134,954.6363636,1057.936567,2013
J0480,"Injection, basiliximab, 20 mg",Simulect,Basiliximab,719829.28,301,272,174,2391.459402,2646.431177,4136.949885,2013
J0485,"Injection, belatacept, 1 mg",Nulojix,Belatacept,8517275.05,2282987,3998,587,3.73075933,2130.383955,14509.83825,2013
J0490,"Injection, belimumab, 10 mg",Benlysta,Belimumab,43361222.73,1197612.7,13687,1931,36.20638186,3168.058941,22455.3199,2013
J0500,"Injection, dicyclomine hcl, up to 20 mg",Bentyl,Dicyclomine HCL,43588.06,1469,1281,807,29.67192648,34.0265886,54.01246592,2013
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate*,Benztropine Mesylate*,4715.27,231,167,44,20.41242424,28.2351497,107.1652273,2013
J0558,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",Bicillin C-R,Pen G Benz/Pen G Procaine,116848.29,28173.1,3322,2496,4.147512698,35.17407887,46.81421875,2013
J0561,"Injection, penicillin g benzathine, 100,000 units",Bicillin L-A,Penicillin G Benzathine,544411.83,112044.5,12172,7867,4.85888937,44.72657164,69.20196136,2013
J0583,"Injection, bivalirudin, 1 mg",Angiomax*,Bivalirudin*,77674395.95,25399186,92029,85994,3.05814509,844.0208625,903.2536683,2013
J0585,"Injection, onabotulinumtoxina, 1 unit",Botox*,Onabotulinumtoxina*,188706705.8,35022178.9,200056,93883,5.388205751,943.2694133,2010.01998,2013
J0586,"Injection, abobotulinumtoxina, 5 units",Dysport,Abobotulinumtoxina,4497115.47,659115,4552,2168,6.822960288,987.9427658,2074.315254,2013
J0587,"Injection, rimabotulinumtoxinb, 100 units",Myobloc,Rimabotulinumtoxinb,5726930.29,536868.3,6303,3235,10.66729082,908.6038855,1770.303026,2013
J0588,"Injection, incobotulinumtoxin a, 1 unit",Xeomin,Incobotulinumtoxina,4992127.49,1144308.1,7778,3887,4.362572886,641.8266251,1284.313736,2013
J0592,"Injection, buprenorphine hydrochloride, 0.1 mg",Buprenorphine HCL,Buprenorphine HCL,2531.85,2747,1287,833,0.921678194,1.967249417,3.039435774,2013
J0594,"Injection, busulfan, 1 mg",Busulfan*,Busulfan*,298019.41,13526,79,74,22.03307778,3772.397595,4027.289324,2013
J0595,"Injection, butorphanol tartrate, 1 mg",Butorphanol Tartrate,Butorphanol Tartrate,8620.93,6205,3010,1535,1.389352135,2.864096346,5.616241042,2013
J0597,"Injection, c-1 esterase inhibitor (human), berinert, 10 units",Berinert,C1 Esterase Inhibitor,492525.73,16065,113,45,30.65830875,4358.634779,10945.01622,2013
J0598,"Injection, c-1 esterase inhibitor (human), cinryze, 10 units",Cinryze,C1 Esterase Inhibitor,2383987.94,50071,287,30,47.61214955,8306.578188,79466.26467,2013
J0600,"Injection, edetate calcium disodium, up to 1000 mg",Calcium DIsodium Versenate,Edetate Calcium DIsodium,1790274.01,13208,6862,914,135.5446707,260.8968245,1958.7243,2013
J0610,"Injection, calcium gluconate, per 10 ml",Calcium Gluconate,Calcium Gluconate,46555.97,68719,30534,6817,0.677483229,1.524725552,6.829392695,2013
J0630,"Injection, calcitonin salmon, up to 400 units",Miacalcin,"Calcitonin,salmon,synthetic",137890.69,165368,295,39,0.833841432,467.4260678,3535.658718,2013
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,17540.06,108933,4329,881,0.161016955,4.051757912,19.9092622,2013
J0637,"Injection, caspofungin acetate, 5 mg",Cancidas,Caspofungin Acetate,568278.58,44231,1682,331,12.84797043,337.8588466,1716.853716,2013
J0640,"Injection, leucovorin calcium, per 50 mg",Leucovorin Calcium,Leucovorin Calcium,5076847.54,1218915.3,125418,15915,4.165053585,40.47941715,318.9976463,2013
J0641,"Injection, levoleucovorin calcium, 0.5 mg",Fusilev*,Levoleucovorin Calcium*,60510614.16,33942291,52594,7885,1.782749849,1150.523143,7674.142569,2013
J0670,"Injection, mepivacaine hydrochloride, per 10 ml",Polocaine*,Mepivacaine HCL*,15328.97,8631.5,5144,3373,1.775933499,2.97997084,4.544610139,2013
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium*,Cefazolin Sodium*,197544.62,236128,63863,40249,0.836599726,3.093256189,4.908062809,2013
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime*,Cefepime In Iso-Osm Dextrose*,391364.49,142686,23919,2950,2.742837349,16.36207576,132.6659288,2013
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin*,Cefoxitin Sodium*,57070.7,10693,4352,2439,5.337201908,13.11367188,23.39922099,2013
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone*,Ceftriaxone In Is-Osm Dextrose*,3354656.07,3824539.2,1004764,602709,0.877139936,3.338750264,5.565963127,2013
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime Sodium*,Cefuroxime Sodium*,16345.17,5394,5196,2132,3.030250278,3.145721709,7.666590056,2013
J0702,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",Betamethasone Acetate-Sod Phos*,"Betamethasone Acetate,sod Phos*",14225704.45,2560642.3,1099299,707700,5.555521929,12.94070535,20.1013204,2013
J0712,"Injection, ceftaroline fosamil, 10 mg",Teflaro,Ceftaroline Fosamil Acetate,484922.11,608958,3641,2329,0.796314541,133.1837709,208.210438,2013
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime*,Ceftazidime*,134080.76,63241.4,10294,4473,2.120142185,13.02513697,29.97557791,2013
J0717,"Injection, certolizumab pegol, 1 mg",Cimzia,Certolizumab Pegol, , , , , , , ,2013
J0720,"Injection, chloramphenicol sodium succinate, up to 1 gm",Chloramphenicol Sod Succinate,Chloramphenicol Sod Succinate,2888.27,168,138,105,17.19208333,20.92949275,27.50733333,2013
J0725,"Injection, chorionic gonadotropin, per 1,000 usp units",Chorionic Gonadotropin*,"Chorionic Gonadotropin, Human*",188142.14,14901.3,13502,920,12.62588767,13.93439046,204.5023261,2013
J0735,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL*,Clonidine HCL/PF*,799086.65,35562.6,8985,5083,22.46986019,88.93563161,157.2076825,2013
J0740,"Injection, cidofovir, 375 mg",Cidofovir,Cidofovir,1717932.41,2568,2228,776,668.9767952,771.064816,2213.830425,2013
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Imipenem-Cilastatin Sodium*,Imipenem/Cilastatin Sodium*,144462.55,19639,2740,250,7.355901523,52.72355839,577.8502,2013
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Cipro I.V.*,Ciprofloxacin In 5 % Dextrose*,11135.1,5627.5,2512,734,1.978693914,4.432762739,15.17043597,2013
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate*,Colistin (Colistimethate Na)*,17899.24,1569,675,248,11.40805609,26.51739259,72.17435484,2013
J0775,"Injection, collagenase, clostridium histolyticum, 0.01 mg",Xiaflex,Collagenase Clostridium Hist.,21893407.81,582544,6815,5730,37.58241062,3212.532327,3820.839059,2013
J0780,"Injection, prochlorperazine, up to 10 mg",Prochlorperazine Edisylate,Prochlorperazine Edisylate,20111.14,5551,5180,2385,3.62297604,3.88245946,8.432343816,2013
J0795,"Injection, corticorelin ovine triflutate, 1 microgram",Acthrel,Corticorelin Ovine Triflutate,17770.37,2718,34,33,6.538031641,522.6579412,538.4960606,2013
J0800,"Injection, corticotropin, up to 40 units",H.P. Acthar,Corticotropin,47437.23,446,386,240,106.3615022,122.8943782,197.655125,2013
J0834,"Injection, cosyntropin (cortrosyn), 0.25 mg",Cortrosyn*,Cosyntropin*,307782.4,4710,4658,4097,65.34658174,66.07608416,75.12384672,2013
J0840,"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram",Crofab,"Antivenin,crotalidae Fab(Ovin)",1624216.85,741,115,113,2191.925574,14123.62478,14373.60044,2013
J0850,"Injection, cytomegalovirus immune globulin intravenous (human), per vial",Cytogam,Cytomegalovirus Immune Globuln,2759437.64,2754,777,223,1001.974452,3551.399794,12374.15982,2013
J0875,"Injection, dalbavancin, 5 mg",Dalvance,Dalbavancin HCL, , , , , , , ,2013
J0878,"Injection, daptomycin, 1 mg",Cubicin*,Daptomycin*,79779983.79,137634432.9,130565,16328,0.579651342,611.0365243,4886.08426,2013
J0881,"Injection, darbepoetin alfa, 1 microgram",Aranesp (J0881),Darbepoetin Alfa In Polysorbat,288845992.9,84734091.8,390384,69966,3.408852172,739.9022318,4128.376538,2013
J0882,"Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)",Aranesp (J0882),Darbepoetin Alfa In Polysorbat,7439653.04,8175860,46008,7625,0.909953576,161.7034655,975.692202,2013
J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",Epogen (J0885)*,Epoetin Alfa*,308754300.4,29240710.7,801935,104751,10.55905595,385.0116286,2947.506949,2013
J0894,"Injection, decitabine, 1 mg",Dacogen*,Decitabine*,141479718.2,4170472.2,69763,4604,33.9241485,2028.005078,30729.73898,2013
J0895,"Injection, deferoxamine mesylate, 500 mg",Deferoxamine Mesylate*,Deferoxamine Mesylate*,3032200.17,210088,15388,680,14.43300031,197.0496601,4459.117897,2013
J0897,"Injection, denosumab, 1 mg",Prolia*,Denosumab*,630127599.8,45030586,517385,228844,13.99332444,1217.90852,2753.524671,2013
J1000,"Injection, depo-estradiol cypionate, up to 5 mg",Depo-Estradiol,Estradiol Cypionate,223787.28,30099,29858,6032,7.435040367,7.495052582,37.10001326,2013
J1020,"Injection, methylprednisolone acetate, 20 mg",Depo-Medrol (J1020)*,MethylprednIsolone Acetate*,1215847.77,402983.3,243711,164730,3.017117012,4.988891638,7.380852122,2013
J1030,"Injection, methylprednisolone acetate, 40 mg",Depo-Medrol (J1030)*,MethylprednIsolone Acetate*,7196454.93,2544221.9,1816749,1155379,2.828548457,3.961171813,6.228653048,2013
J1040,"Injection, methylprednisolone acetate, 80 mg",Depo-Medrol (J1040)*,MethylprednIsolone Acetate*,9574174.42,1746559.5,1500401,947480,5.4817339,6.381077072,10.10488287,2013
J1050,"Injection, medroxyprogesterone acetate, 1 mg",Depo-Provera,Medroxyprogesterone Acetate,473967.12,1998985,15603,8663,0.23710389,30.37666603,54.71166109,2013
J1071,"Injection, testosterone cypionate, 1 mg",Depo-Testosterone*,Testosterone Cypionate*, , , , , , , ,2013
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate*,Dexamethasone Sod Phosphate*,2169589.11,19724848.2,2456360,954780,0.10999269,0.883253721,2.27234453,2013
J1110,"Injection, dihydroergotamine mesylate, per 1 mg",D.H.E.45*,Dihydroergotamine Mesylate*,94418.12,2942,2427,1379,32.09317471,38.90322209,68.46854242,2013
J1160,"Injection, digoxin, up to 0.5 mg",Digoxin*,Digoxin*,345.22,178,163,152,1.939438202,2.11791411,2.271184211,2013
J1162,"Injection, digoxin immune fab (ovine), per vial",Digifab,Digoxin Immune Fab,906835.61,860,252,248,1054.460012,3598.554008,3656.595202,2013
J1170,"Injection, hydromorphone, up to 4 mg",Dilaudid*,Hydromorphone HCL*,3720538.61,2494385.9,30871,10673,1.491564962,120.5188886,348.5935173,2013
J1190,"Injection, dexrazoxane hydrochloride, per 250 mg",Dexrazoxane*,Dexrazoxane HCL*,665798.21,4430,1055,341,150.2930497,631.0883507,1952.487419,2013
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL (J1200),Diphenhydramine HCL,524842.49,712345.9,696896,149058,0.73678039,0.753114511,3.521062204,2013
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium*,Chlorothiazide Sodium*,299401.85,1558,860,598,192.1706354,348.1416861,500.67199,2013
J1212,"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml",Rimso-50,Dimethyl Sulfoxide,1233809.23,15244,14977,3276,80.93736749,82.38026507,376.6206441,2013
J1230,"Injection, methadone hcl, up to 10 mg",Methadone HCL,Methadone HCL,1532.73,215,199,71,7.128976744,7.702160804,21.58774648,2013
J1240,"Injection, dimenhydrinate, up to 50 mg",Dimenhydrinate,Dimenhydrinate,1611.49,351.5,306,192,4.584608819,5.26630719,8.393177083,2013
J1245,"Injection, dipyridamole, per 10 mg",Dipyridamole,Dipyridamole,381475.52,449339.2,98844,97487,0.848970043,3.859369512,3.913091181,2013
J1250,"Injection, dobutamine hydrochloride, per 250 mg",Dobutamine HCL*,Dobutamine HCL*,668705.4,135200.5,25782,18910,4.946027567,25.93690947,35.36252776,2013
J1265,"Injection, dopamine hcl, 40 mg",Dopamine HCL*,Dopamine HCL*,15629.3,29818,691,83,0.52415655,22.61837916,188.3048193,2013
J1267,"Injection, doripenem, 10 mg",Doribax,Doripenem,29798.15,57064,591,51,0.522188245,50.41988156,584.277451,2013
J1300,"Injection, eculizumab, 10 mg",Soliris,Eculizumab,141415981.8,717635,6372,411,197.0583678,22193.34303,344077.8145,2013
J1325,"Injection, epoprostenol, 0.5 mg",Epoprostenol Sodium*,Epoprostenol Sodium (Glycine)*,22213596.95,1776147,6044,653,12.50662076,3675.313857,34017.7595,2013
J1335,"Injection, ertapenem sodium, 500 mg",Invanz,Ertapenem Sodium,3899791.53,123234,55728,5944,31.64541872,69.97903262,656.08875,2013
J1364,"Injection, erythromycin lactobionate, per 500 mg",Erythrocin Lactobionate,Erythromycin Lactobionate,6212.31,381,359,299,16.30527559,17.30448468,20.77695652,2013
J1380,"Injection, estradiol valerate, up to 10 mg",Delestrogen*,Estradiol Valerate*,166091.53,19213.7,12230,2474,8.644432358,13.58066476,67.13481407,2013
J1410,"Injection, estrogen conjugated, per 25 mg",Premarin,"Estrogens, Conjugated",267506.88,2985,2331,767,89.61704523,114.7605663,348.7703781,2013
J1439,"Injection, ferric carboxymaltose, 1 mg",Injectafer,Ferric Carboxymaltose, , , , , , , ,2013
J1442,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram",Neupogen,Filgrastim, , , , , , , ,2013
J1447,"Injection, tbo-filgrastim, 1 microgram",Granix,Tbo-Filgrastim, , , , , , , ,2013
J1450,"Injection fluconazole, 200 mg",Fluconazole In Dextrose*,"Fluconazole In Dextrose,Iso-Os*",22626.77,4437,2616,518,5.099565021,8.649376911,43.68102317,2013
J1453,"Injection, fosaprepitant, 1 mg",Emend,Fosaprepitant Dimeglumine,60879402.42,35809825,220608,57826,1.700075396,275.9618981,1052.803279,2013
J1459,"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg",Privigen,Immun Glob G(Igg)/Pro/Iga 0-50,165380025.2,4628566.7,49929,8418,35.73028885,3312.303975,19645.99966,2013
J1460,"Injection, gamma globulin, intramuscular, 1 cc",Gamastan S-D (J1460),Immune Globul G (Igg)/Glycine,90034.89,3867,1378,424,23.2828782,65.33736575,212.3464387,2013
J1556,"Injection, immune globulin (bivigam), 500 mg",Bivigam,Immun Glob G(Igg)/Gly/Iga Ov50, , , , , , , ,2013
J1557,"Injection, immune globulin, (gammaplex), intravenous, non-lyophilized (e.g., liquid), 500 mg",Gammaplex,Immun Glob G/Sorb/Gly/Iga 0-50,4489095.46,122291,1605,288,36.70830609,2796.944212,15587.13701,2013
J1559,"Injection, immune globulin (hizentra), 100 mg",Hizentra,Immun Glob G(Igg)/Pro/Iga 0-50,140307120.7,9903039,29410,2712,14.16808726,4770.728347,51735.66397,2013
J1560,"Injection, gamma globulin, intramuscular, over 10 cc",Gamastan S-D (J1560),Immune Globul G (Igg)/Glycine,12362.61,139,47,19,88.93964029,263.0342553,650.6636842,2013
J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",Gammaked*,Immune Globul G/Gly/Iga Avg 46*,216141525.2,5607101.5,64395,9280,38.54781748,3356.495461,23291.11263,2013
J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Carimune NF Nanofiltered*,Immun Globg(Igg)/Sucr/Iga Ov50*,43737013.64,1402645,17451,3166,31.18181268,2506.275494,13814.59685,2013
J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg",Octagam,Immun Globg(Igg)/Malt/Iga Ov50,88691980.78,2848014,39936,6496,31.1416941,2220.852884,13653.32216,2013
J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",Gammagard Liquid,Immun Glob G(Igg)/Gly/Iga Ov50,221314064.4,5698800,73023,11271,38.83520468,3030.74462,19635.70796,2013
J1570,"Injection, ganciclovir sodium, 500 mg",Cytovene*,Ganciclovir Sodium*,685059.96,15044,3839,715,45.53708854,178.447502,958.1258182,2013
J1571,"Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5 ml",Hepagam B,Hepatitis B Immun Glob/Maltose,158164.11,3129,273,102,50.547814,579.3557143,1550.628529,2013
J1572,"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous, non-lyophilized (e.g., liquid), 500 mg",Flebogamma Dif,Imm Glob G (Igg)/Sorb/Iga 0-50,65308067.31,1855806,22538,3826,35.19121466,2897.686898,17069.5419,2013
J1575,"Injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobulin",Hyqvia,"Igg/Hyaluronidase,recombinant", , , , , , , ,2013
