Brand Name,Year,Generic Name,num_manufac,Inf Total Spend,Total Spending,Total Dosage Units,Total Claims
Adrucil,2013,Fluorouracil,1,403000,383632.02,482340.582,7872
Adrucil,2014,Fluorouracil,1,224000,216927.43,569755.195,7387
Adrucil,2015,Fluorouracil,1,502000,486926.04,667806.053,6537
Adrucil,2016,Fluorouracil,1,615000,602382.45,512618.724,7161
Adrucil,2017,Fluorouracil,1,761000,760615.02,444726.228,6298
Advair Diskus,2013,Fluticasone/Salmeterol,1,609000000,580241321,125291442,2077418
Advair Diskus,2014,Fluticasone/Salmeterol,1,564000000,546195059.8,109589612.9,1801467
Advair Diskus,2015,Fluticasone/Salmeterol,1,600000000,582961847.7,107296595.1,1767508
Advair Diskus,2016,Fluticasone/Salmeterol,1,578000000,566718479.5,96441983.91,1570424
Advair Diskus,2017,Fluticasone/Salmeterol,1,509000000,508931994.4,82126005.66,1344371
Advair HFA,2013,Fluticasone/Salmeterol,1,99800000,95046957.86,3947839.608,329133
Advair HFA,2014,Fluticasone/Salmeterol,1,108000000,104142024.2,4081425.717,338762
Advair HFA,2015,Fluticasone/Salmeterol,1,115000000,111434917.9,4129826.91,341353
Advair HFA,2016,Fluticasone/Salmeterol,1,131000000,128030807.3,4342403.32,356266
Advair HFA,2017,Fluticasone/Salmeterol,1,119000000,119456735.6,3804020.8,317742
Afeditab Cr,2013,Nifedipine,1,221000,210801.37,248659,6669
Afeditab Cr,2014,Nifedipine,1,316000,305667.73,363487,9929
Afeditab Cr,2015,Nifedipine,1,237000,229729.62,292986,7763
Afeditab Cr,2016,Nifedipine,1,135000,132247.9,203280,5610
Afeditab Cr,2017,Nifedipine,1,103000,102652.86,170645.935,4857
Afinitor,2013,Everolimus,1,58200000,55448479.86,196550.178,7018
Afinitor,2014,Everolimus,1,77200000,74720456.07,228024,8146
Afinitor,2015,Everolimus,1,103000000,99932642.29,271018,9758
Afinitor,2016,Everolimus,1,103000000,100940557.3,248453,8897
Afinitor,2017,Everolimus,1,118000000,117914871.4,256498,9273
Afinitor Disperz,2013,Everolimus,1,386000,367534.62,1257.001,38
Afinitor Disperz,2014,Everolimus,1,3950000,3827613.25,12072.012,333
Afinitor Disperz,2015,Everolimus,1,8520000,8270418.53,22888,678
Afinitor Disperz,2016,Everolimus,1,16000000,15703799.87,38929,1045
Afinitor Disperz,2017,Everolimus,1,26400000,26363723.39,58425,1504
Afrin,2013,Oxymetazoline HCl,1,423,403,806,58
Afrin,2014,Oxymetazoline HCl,1,625,604.6,1205,97
Afrin,2015,Oxymetazoline HCl,1,430,417.82,1067,71
Afrin,2016,Oxymetazoline HCl,1,279,273.69,780,52
Afrin,2017,Oxymetazoline HCl,1,408,408,1080,61
Aggrenox,2013,Aspirin/Dipyridamole,1,15200000,14488530.86,3213809.553,55983
Aggrenox,2014,Aspirin/Dipyridamole,1,15300000,14784021.61,2718613.12,47175
Aggrenox,2015,Aspirin/Dipyridamole,1,13900000,13512144.28,1952293.943,33600
Aggrenox,2016,Aspirin/Dipyridamole,1,7380000,7235565.35,942260,16152
Aggrenox,2017,Aspirin/Dipyridamole,1,5720000,5717380.09,710668,12138
Ak-Poly-Bac,2013,Bacitracin/Polymyxin B Sulfate,1,76500,72872.38,12731.785,3560
Ak-Poly-Bac,2014,Bacitracin/Polymyxin B Sulfate,1,69300,67091.94,12783.37,3456
Ak-Poly-Bac,2015,Bacitracin/Polymyxin B Sulfate,1,52600,51020.4,10754.549,2981
Ak-Poly-Bac,2016,Bacitracin/Polymyxin B Sulfate,1,20200,19747.62,4322.6,1232
Ak-Poly-Bac,2017,Bacitracin/Polymyxin B Sulfate,1,4570,4570.57,987.499,333
Albenza,2013,Albendazole,1,9460000,9005460.16,194538.959,43858
Albenza,2014,Albendazole,1,22400000,21637020.71,206071.546,47824
Albenza,2015,Albendazole,1,28600000,27788042.71,223345.355,52993
Albenza,2016,Albendazole,1,36700000,35953802.3,223096,53214
Albenza,2017,Albendazole,1,30600000,30565346.98,174597.525,44945
Albuterol Sulfate*,2013,Albuterol Sulfate,10,111688000,106401322.54,941593044.548,6057538
Albuterol Sulfate*,2014,Albuterol Sulfate,10,105184000,101818141.57,944163534.238,6112171
Albuterol Sulfate*,2015,Albuterol Sulfate,10,105575000,102544616.49,961150876.209,6366257
Albuterol Sulfate*,2016,Albuterol Sulfate,11,102398938,100318293.39,956645092.139,6419044
Albuterol Sulfate*,2017,Albuterol Sulfate,11,95622080,95661110.99,946200606.8330001,6261576
Alclometasone Dipropionate,2013,Alclometasone Dipropionate,3,1194000,1137102.73,1249957.803,29177
Alclometasone Dipropionate,2014,Alclometasone Dipropionate,3,1749000,1693333.8,1328955.047,31205
Alclometasone Dipropionate,2015,Alclometasone Dipropionate,3,1669000,1620658.44,1229275.366,30438
Alclometasone Dipropionate,2016,Alclometasone Dipropionate,3,1994000,1953852.65,1447119.051,35038
Alclometasone Dipropionate,2017,Alclometasone Dipropionate,3,2304000,2304113.1100000003,1528345.582,36207
Aldactazide,2013,Spironolact/Hydrochlorothiazid,1,86600,82439.18,35464.558,912
Aldactazide,2014,Spironolact/Hydrochlorothiazid,1,99000,95812.68,36850.4,1060
Aldactazide,2015,Spironolact/Hydrochlorothiazid,1,97100,94284.89,31171,865
Aldactazide,2016,Spironolact/Hydrochlorothiazid,1,101000,98796.33,27910.444,821
Aldactazide,2017,Spironolact/Hydrochlorothiazid,1,103000,102729.62,24047,713
Aldactone,2013,Spironolactone,1,18700,17831.43,11870,186
Aldactone,2014,Spironolactone,1,19700,19049.58,11646,160
Aldactone,2015,Spironolactone,1,20900,20298.94,9522,208
Aldactone,2016,Spironolactone,1,27200,26647.92,9702,195
Aldactone,2017,Spironolactone,1,37200,37153.18,10803.125,206
Aldara,2013,Imiquimod,1,681000,648209.33,23687.432,1870
Aldara,2014,Imiquimod,1,4740000,4586780.18,84001.294,5651
Aldara,2015,Imiquimod,1,10500000,10160139.12,141386.096,9348
Aldara,2016,Imiquimod,1,9480000,9293340.43,106473.36,7866
Aldara,2017,Imiquimod,1,6210000,6212516.81,81177.313,5353
Alendronate Sodium,2013,Alendronate Sodium,10,7406270,7053003.18,3683863.137,793759
Alendronate Sodium,2014,Alendronate Sodium,11,6481270,6267729.25,3977782.952,836166
Alendronate Sodium,2015,Alendronate Sodium,13,6051830,5879401.72,5021539.932,990751
Alendronate Sodium,2016,Alendronate Sodium,13,5792860,5684851.56,5503567.754,1050725
Alendronate Sodium,2017,Alendronate Sodium,13,5342560,5337542.15,5079923.857,937310
Alfuzosin HCl ER,2013,Alfuzosin HCl,5,420600,400472.93,469060.695,15017
Alfuzosin HCl ER,2014,Alfuzosin HCl,5,403400,390399.91,592572.06,18918
Alfuzosin HCl ER,2015,Alfuzosin HCl,6,449690,436315.61,881750.0009999999,28220
Alfuzosin HCl ER,2016,Alfuzosin HCl,7,446300,437194.15,1139704.5,36204
Alfuzosin HCl ER,2017,Alfuzosin HCl,7,445300,445406.92,1282128,40973
Alimta,2013,Pemetrexed Disodium,1,58000000,55245196.28,57160.34,12738
Alimta,2014,Pemetrexed Disodium,1,64800000,62759975.8,126732.43,14014
Alimta,2015,Pemetrexed Disodium,1,74900000,72731033.75,57063.978,16402
Alimta,2016,Pemetrexed Disodium,1,79600000,77981373.4,62117.569,17382
Alimta,2017,Pemetrexed Disodium,1,84000000,83957216.95,56151.965,17896
Alinia,2013,Nitazoxanide,2,463400,441490.63,28568.006,1338
Alinia,2014,Nitazoxanide,2,979000,947660.61,203457.9,3599
Alinia,2015,Nitazoxanide,2,1642000,1593852.22,255332.5,4647
Alinia,2016,Nitazoxanide,2,3030000,2967995.71,261480,5270
Alinia,2017,Nitazoxanide,2,3830000,3838108.3600000003,209733,3983
Alkeran,2013,Melphalan,1,137000,130050.37,15574.5,573
Alkeran,2014,Melphalan,1,109000,105511.81,11476,423
Alkeran,2015,Melphalan,1,101000,97971.62,9595,347
Alkeran,2016,Melphalan,1,82300,80664.13,8024,283
Alkeran,2017,Melphalan,1,47300,47295.15,4630,170
All Day Allergy,2013,Cetirizine HCl,1,9140,8708.6,156953,1045
All Day Allergy,2014,Cetirizine HCl,1,3000,2905.8,47434,385
All Day Allergy,2015,Cetirizine HCl,1,694,673.37,5399,87
All Day Allergy,2016,Cetirizine HCl,1,2540,2484.92,18836,549
All Day Allergy,2017,Cetirizine HCl,1,1100,1095.72,12983,235
Allopurinol,2013,Allopurinol,8,3150800,3000321.33,20871023.729,528597
Allopurinol,2014,Allopurinol,9,4728150,4575783.4399999995,27722570.583,698885
Allopurinol,2015,Allopurinol,10,12903054,12531742.19,38681911.288,951204
Allopurinol,2016,Allopurinol,11,15133930,14820545.3,44957668.937,1094099
Allopurinol,2017,Allopurinol,11,12409610,12411347.11,46733942.445,1155305
Alocril,2013,Nedocromil Sodium,1,84300,80334.32,3130,614
Alocril,2014,Nedocromil Sodium,1,149000,144652.38,2942,560
Alocril,2015,Nedocromil Sodium,1,378000,367105.65,7847,1494
Alocril,2016,Nedocromil Sodium,1,161000,157701.26,7050,1351
Alocril,2017,Nedocromil Sodium,1,97300,97344.47,2800,549
Alomide,2013,Lodoxamide Tromethamine,1,219000,208841.4,17450,1783
Alomide,2014,Lodoxamide Tromethamine,1,157000,151905.46,11955,1255
Alomide,2015,Lodoxamide Tromethamine,1,175000,169472.88,12335,1206
Alomide,2016,Lodoxamide Tromethamine,1,178000,174020.14,11370,1127
Alomide,2017,Lodoxamide Tromethamine,1,172000,171890.4,10495,1068
Alora,2013,Estradiol,1,235000,224029.82,26723,3217
Alora,2014,Estradiol,1,291000,282135.99,30832,3755
Alora,2015,Estradiol,1,312000,303280.82,31435,3862
Alora,2016,Estradiol,1,270000,264633.16,23585.1,2906
Alora,2017,Estradiol,1,207000,207234.44,16278,1981
Aloxi,2013,Palonosetron HCl,1,45100000,42973448.22,886636.918,174223
Aloxi,2014,Palonosetron HCl,1,44900000,43468916,997019.703,172244
Aloxi,2015,Palonosetron HCl,1,54400000,52858695.24,920547.793,181243
Aloxi,2016,Palonosetron HCl,1,67000000,65652107.56,886641.656,174986
Aloxi,2017,Palonosetron HCl,1,91500000,91523333.95,863047.925,174659
Alphagan P,2013,Brimonidine Tartrate,1,7860000,7486743.89,428426.002,64657
Alphagan P,2014,Brimonidine Tartrate,1,8210000,7950434.65,414273.59,63902
Alphagan P,2015,Brimonidine Tartrate,1,10200000,9871409.96,452448.1,70186
Alphagan P,2016,Brimonidine Tartrate,1,11800000,11593346.25,468152.5,73116
Alphagan P,2017,Brimonidine Tartrate,1,11300000,11317534.05,417160.5,67083
Alphanate,2013,Antihemophilic Factor/VWF,1,42900000,40887377.17,44344416.8,1383
Alphanate,2014,Antihemophilic Factor/VWF,1,53500000,51780927.6,56020129.56,1724
Alphanate,2015,Antihemophilic Factor/VWF,1,60600000,58796546.53,63648765.2,2101
Alphanate,2016,Antihemophilic Factor/VWF,1,83900000,82204226.03,87513542,2392
Alphanate,2017,Antihemophilic Factor/VWF,1,73100000,73141234.22,79204510.21,2857
Alphanine SD,2013,Factor IX,1,4640000,4418646.2,4614490,177
Alphanine SD,2014,Factor IX,1,3620000,3500634.48,3494099.999,165
Alphanine SD,2015,Factor IX,1,4400000,4268371.05,4094093,179
