Brand Name,Program,numyrs,firstyear,Year,Generic Name,Nom Total Spend,Inf Total Spend,Total Claims,Total Beneficiaries,Yearnum,complete
Acephen,Medicaid,5,2013,2013,Acetaminophen,106.91,112,11,NA,2013,Complete
Acephen,Medicaid,5,2013,2014,Acetaminophen,42.91,44.3,11,NA,2014,Complete
Acephen,Medicaid,5,2013,2015,Acetaminophen,118.81,122,37,NA,2015,Complete
Acephen,Medicaid,5,2013,2016,Acetaminophen,233.43,238,180,NA,2016,Complete
Acephen,Medicaid,5,2013,2017,Acetaminophen,3508.86,3510,129,NA,2017,Complete
Acetadote,Medicaid,5,2013,2013,Acetylcysteine,105544.57,111000,121,NA,2013,Complete
Acetadote,Medicaid,5,2013,2014,Acetylcysteine,67895.46,70100,169,NA,2014,Complete
Acetadote,Medicaid,5,2013,2015,Acetylcysteine,199808.83,206000,388,NA,2015,Complete
Acetadote,Medicaid,5,2013,2016,Acetylcysteine,137216.41,140000,283,NA,2016,Complete
Acetadote,Medicaid,5,2013,2017,Acetylcysteine,74863.42,74900,227,NA,2017,Complete
Acetaminophen-Codeine,Medicaid,5,2013,2013,Acetaminophen With Codeine,16424994.43,17248100,2189668,NA,2013,Complete
Acetaminophen-Codeine,Medicaid,5,2013,2014,Acetaminophen With Codeine,15761861.52,16284860,2185745,NA,2014,Complete
Acetaminophen-Codeine,Medicaid,5,2013,2015,Acetaminophen With Codeine,23618766.169999998,24330000,3011995,NA,2015,Complete
Acetaminophen-Codeine,Medicaid,5,2013,2016,Acetaminophen With Codeine,24134095.05,24625200,2905609,NA,2016,Complete
Acetaminophen-Codeine,Medicaid,5,2013,2017,Acetaminophen With Codeine,20505489.63,20496540,2465018,NA,2017,Complete
Acetazolamide,Medicaid,5,2013,2013,Acetazolamide,6662957.899999999,6996600,80451,NA,2013,Complete
Acetazolamide,Medicaid,5,2013,2014,Acetazolamide,12253534.55,12658400,92222,NA,2014,Complete
Acetazolamide,Medicaid,5,2013,2015,Acetazolamide,16950933.71,17456600,112515,NA,2015,Complete
Acetazolamide,Medicaid,5,2013,2016,Acetazolamide,19133744.98,19528600,125630,NA,2016,Complete
Acetazolamide,Medicaid,5,2013,2017,Acetazolamide,16949737.91,16951400,125573,NA,2017,Complete
Acetazolamide Sodium,Medicaid,5,2013,2013,Acetazolamide Sodium,7558.4000000000005,7936,119,NA,2013,Complete
Acetazolamide Sodium,Medicaid,5,2013,2014,Acetazolamide Sodium,14546.890000000001,14980,178,NA,2014,Complete
Acetazolamide Sodium,Medicaid,5,2013,2015,Acetazolamide Sodium,55953.74,57600,392,NA,2015,Complete
Acetazolamide Sodium,Medicaid,5,2013,2016,Acetazolamide Sodium,39065.16,39840,353,NA,2016,Complete
Acetazolamide Sodium,Medicaid,5,2013,2017,Acetazolamide Sodium,61637.32,61590,348,NA,2017,Complete
Acetic Acid*,Medicaid,5,2013,2013,Acetic Acid,464641.96,488060,18629,NA,2013,Complete
Acetic Acid*,Medicaid,5,2013,2014,Acetic Acid,501017.34,517260,19623,NA,2014,Complete
Acetic Acid*,Medicaid,5,2013,2015,Acetic Acid,598728.61,616900,23110,NA,2015,Complete
Acetic Acid*,Medicaid,5,2013,2016,Acetic Acid,659154.21,672390,28088,NA,2016,Complete
Acetic Acid*,Medicaid,5,2013,2017,Acetic Acid,696931.23,697130,30087,NA,2017,Complete
Acetic Acid-Aluminum,Medicaid,5,2013,2013,Acetic Acid/Aluminum Acetate,80165.1,84200,1411,NA,2013,Complete
Acetic Acid-Aluminum,Medicaid,5,2013,2014,Acetic Acid/Aluminum Acetate,107389.28,111000,1235,NA,2014,Complete
Acetic Acid-Aluminum,Medicaid,5,2013,2015,Acetic Acid/Aluminum Acetate,122234.56,126000,1715,NA,2015,Complete
Acetic Acid-Aluminum,Medicaid,5,2013,2016,Acetic Acid/Aluminum Acetate,106052.32,108000,1764,NA,2016,Complete
Acetic Acid-Aluminum,Medicaid,5,2013,2017,Acetic Acid/Aluminum Acetate,30918.49,30900,569,NA,2017,Complete
Acetylcysteine*,Medicaid,5,2013,2013,Acetylcysteine,812537.16,853000,6981,NA,2013,Complete
Acetylcysteine*,Medicaid,5,2013,2014,Acetylcysteine,1081432.18,1117130,13294,NA,2014,Complete
Acetylcysteine*,Medicaid,5,2013,2015,Acetylcysteine,1533324.25,1578810,17407,NA,2015,Complete
Acetylcysteine*,Medicaid,5,2013,2016,Acetylcysteine,1770762.02,1807100,19495,NA,2016,Complete
Acetylcysteine*,Medicaid,5,2013,2017,Acetylcysteine,2398829.85,2398900,21651,NA,2017,Complete
Acidophilus-Pectin,Medicaid,5,2013,2013,Lactobacillus Acidophilus/Pect,895.8,941,198,NA,2013,Complete
Acidophilus-Pectin,Medicaid,5,2013,2014,Lactobacillus Acidophilus/Pect,1513.6,1560,382,NA,2014,Complete
Acidophilus-Pectin,Medicaid,5,2013,2015,Lactobacillus Acidophilus/Pect,1179.94,1220,316,NA,2015,Complete
Acidophilus-Pectin,Medicaid,5,2013,2016,Lactobacillus Acidophilus/Pect,600.53,613,163,NA,2016,Complete
Acidophilus-Pectin,Medicaid,5,2013,2017,Lactobacillus Acidophilus/Pect,1620,1620,340,NA,2017,Complete
Aciphex,Medicaid,5,2013,2013,Rabeprazole Sodium,27115198.55,28500000,68370,NA,2013,Complete
Aciphex,Medicaid,5,2013,2014,Rabeprazole Sodium,10572674.72,10900000,23639,NA,2014,Complete
Aciphex,Medicaid,5,2013,2015,Rabeprazole Sodium,2559491.91,2640000,4881,NA,2015,Complete
Aciphex,Medicaid,5,2013,2016,Rabeprazole Sodium,1724069.91,1760000,3024,NA,2016,Complete
Aciphex,Medicaid,5,2013,2017,Rabeprazole Sodium,1327025.81,1330000,2024,NA,2017,Complete
Acitretin,Medicaid,5,2013,2013,Acitretin,1761571.9300000002,1845000,1816,NA,2013,Complete
Acitretin,Medicaid,5,2013,2014,Acitretin,5534419.02,5720000,5764,NA,2014,Complete
Acitretin,Medicaid,5,2013,2015,Acitretin,7305810.140000001,7520700,6808,NA,2015,Complete
Acitretin,Medicaid,5,2013,2016,Acitretin,7025846.86,7168000,7395,NA,2016,Complete
Acitretin,Medicaid,5,2013,2017,Acitretin,4637336.57,4632000,6912,NA,2017,Complete
Actemra*,Medicaid,5,2013,2013,Tocilizumab,10112608.14,10600000,8382,NA,2013,Complete
Actemra*,Medicaid,5,2013,2014,Tocilizumab,16932857.81,17500000,11851,NA,2014,Complete
Actemra*,Medicaid,5,2013,2015,Tocilizumab,26467567.1,27300000,16192,NA,2015,Complete
Actemra*,Medicaid,5,2013,2016,Tocilizumab,36509797.97,37300000,19854,NA,2016,Complete
Actemra*,Medicaid,5,2013,2017,Tocilizumab,48017654.03,48000000,23718,NA,2017,Complete
Actigall,Medicaid,5,2013,2013,Ursodiol,44720.88,47000,150,NA,2013,Complete
Actigall,Medicaid,5,2013,2014,Ursodiol,64728.24,66900,176,NA,2014,Complete
Actigall,Medicaid,5,2013,2015,Ursodiol,81652.15,84100,185,NA,2015,Complete
Actigall,Medicaid,5,2013,2016,Ursodiol,481640.25,492000,960,NA,2016,Complete
Actigall,Medicaid,5,2013,2017,Ursodiol,465870.69,466000,830,NA,2017,Complete
Actimmune,Medicaid,5,2013,2013,"Interferon Gamma-1b,Recomb.",352342.79,370000,17,NA,2013,Complete
Actimmune,Medicaid,5,2013,2014,"Interferon Gamma-1b,Recomb.",24921211.64,25700000,1043,NA,2014,Complete
Actimmune,Medicaid,5,2013,2015,"Interferon Gamma-1b,Recomb.",51007253.94,52500000,1437,NA,2015,Complete
Actimmune,Medicaid,5,2013,2016,"Interferon Gamma-1b,Recomb.",62266022.91,63500000,1443,NA,2016,Complete
Actimmune,Medicaid,5,2013,2017,"Interferon Gamma-1b,Recomb.",63871695.47,63900000,1372,NA,2017,Complete
Activase,Medicaid,5,2013,2013,Alteplase,2626933.7,2760000,2143,NA,2013,Complete
Activase,Medicaid,5,2013,2014,Alteplase,3672378.2,3790000,2369,NA,2014,Complete
Activase,Medicaid,5,2013,2015,Alteplase,4961363.2,5110000,2479,NA,2015,Complete
Activase,Medicaid,5,2013,2016,Alteplase,6408966.24,6540000,2366,NA,2016,Complete
Activase,Medicaid,5,2013,2017,Alteplase,7313664.63,7310000,2532,NA,2017,Complete
Actonel,Medicaid,5,2013,2013,Risedronate Sodium,4723217.77,4960000,31974,NA,2013,Complete
Actonel,Medicaid,5,2013,2014,Risedronate Sodium,3579651.41,3700000,17543,NA,2014,Complete
Actonel,Medicaid,5,2013,2015,Risedronate Sodium,2633111.59,2710000,8793,NA,2015,Complete
Actonel,Medicaid,5,2013,2016,Risedronate Sodium,663042.49,677000,2469,NA,2016,Complete
Actonel,Medicaid,5,2013,2017,Risedronate Sodium,251232.36,251000,824,NA,2017,Complete
Actoplus Met XR,Medicaid,5,2013,2013,Pioglitazone HCl/Metformin HCl,440362.89,462000,1326,NA,2013,Complete
Actoplus Met XR,Medicaid,5,2013,2014,Pioglitazone HCl/Metformin HCl,395688.51,409000,990,NA,2014,Complete
Actoplus Met XR,Medicaid,5,2013,2015,Pioglitazone HCl/Metformin HCl,417505.38,430000,888,NA,2015,Complete
Actoplus Met XR,Medicaid,5,2013,2016,Pioglitazone HCl/Metformin HCl,411146.93,420000,746,NA,2016,Complete
Actoplus Met XR,Medicaid,5,2013,2017,Pioglitazone HCl/Metformin HCl,387834.23,388000,628,NA,2017,Complete
Actos,Medicaid,5,2013,2013,Pioglitazone HCl,17046223.36,17900000,51182,NA,2013,Complete
Actos,Medicaid,5,2013,2014,Pioglitazone HCl,4932191.64,5100000,11318,NA,2014,Complete
Actos,Medicaid,5,2013,2015,Pioglitazone HCl,1004126.83,1030000,2109,NA,2015,Complete
Actos,Medicaid,5,2013,2016,Pioglitazone HCl,401410.6,410000,954,NA,2016,Complete
Actos,Medicaid,5,2013,2017,Pioglitazone HCl,220895.99,221000,432,NA,2017,Complete
Acular,Medicaid,5,2013,2013,Ketorolac Tromethamine,125650.37,132000,739,NA,2013,Complete
Acular,Medicaid,5,2013,2014,Ketorolac Tromethamine,173592.33,179000,888,NA,2014,Complete
Acular,Medicaid,5,2013,2015,Ketorolac Tromethamine,182166.55,188000,969,NA,2015,Complete
Acular,Medicaid,5,2013,2016,Ketorolac Tromethamine,178218.82,182000,784,NA,2016,Complete
Acular,Medicaid,5,2013,2017,Ketorolac Tromethamine,73307.93,73300,278,NA,2017,Complete
Acuvail,Medicaid,5,2013,2013,Ketorolac Tromethamine/PF,74707.02,78400,409,NA,2013,Complete
Acuvail,Medicaid,5,2013,2014,Ketorolac Tromethamine/PF,84334.91,87100,404,NA,2014,Complete
Acuvail,Medicaid,5,2013,2015,Ketorolac Tromethamine/PF,70972.57,73100,291,NA,2015,Complete
Acuvail,Medicaid,5,2013,2016,Ketorolac Tromethamine/PF,91828.44,93700,348,NA,2016,Complete
Acuvail,Medicaid,5,2013,2017,Ketorolac Tromethamine/PF,83310.42,83300,284,NA,2017,Complete
Acyclovir Sodium,Medicaid,5,2013,2013,Acyclovir Sodium,159733.79,168000,1138,NA,2013,Complete
Acyclovir Sodium,Medicaid,5,2013,2014,Acyclovir Sodium,186245.49,192000,1255,NA,2014,Complete
Acyclovir Sodium,Medicaid,5,2013,2015,Acyclovir Sodium,222389.07,229500,1308,NA,2015,Complete
Acyclovir Sodium,Medicaid,5,2013,2016,Acyclovir Sodium,203829.86,208300,1685,NA,2016,Complete
Acyclovir Sodium,Medicaid,5,2013,2017,Acyclovir Sodium,209830.92,209000,1622,NA,2017,Complete
Acyclovir*,Medicaid,5,2013,2013,Acyclovir,21776460.33,22822600,806850,NA,2013,Complete
Acyclovir*,Medicaid,5,2013,2014,Acyclovir,32994294.86,34100989,972237,NA,2014,Complete
Acyclovir*,Medicaid,5,2013,2015,Acyclovir,45035401.019999996,46375175,1183856,NA,2015,Complete
Acyclovir*,Medicaid,5,2013,2016,Acyclovir,43837257.72,44731739,1239354,NA,2016,Complete
Acyclovir*,Medicaid,5,2013,2017,Acyclovir,31327616.39,31317412,1175695,NA,2017,Complete
Aczone,Medicaid,5,2013,2013,Dapsone,1339138.84,1410000,4687,NA,2013,Complete
Aczone,Medicaid,5,2013,2014,Dapsone,2393144.43,2470000,7356,NA,2014,Complete
Aczone,Medicaid,5,2013,2015,Dapsone,3240162.32,3340000,8757,NA,2015,Complete
Aczone,Medicaid,5,2013,2016,Dapsone,4701292.28,4800000,10326,NA,2016,Complete
Aczone,Medicaid,5,2013,2017,Dapsone,5966526.43,5970000,10735,NA,2017,Complete
Adagen,Medicaid,5,2013,2013,PEGademase Bovine,7066471.45,7420000,175,NA,2013,Complete
Adagen,Medicaid,5,2013,2014,PEGademase Bovine,12161888.56,12600000,276,NA,2014,Complete
Adagen,Medicaid,5,2013,2015,PEGademase Bovine,12349482.58,12700000,247,NA,2015,Complete
Adagen,Medicaid,5,2013,2016,PEGademase Bovine,12741092.03,13000000,188,NA,2016,Complete
Adagen,Medicaid,5,2013,2017,PEGademase Bovine,11177138.14,11200000,161,NA,2017,Complete
Adapalene,Medicaid,5,2013,2013,Adapalene,5146389.62,5404000,34027,NA,2013,Complete
Adapalene,Medicaid,5,2013,2014,Adapalene,6732346.8100000005,6948000,44105,NA,2014,Complete
Adapalene,Medicaid,5,2013,2015,Adapalene,8349955.82,8598000,54535,NA,2015,Complete
Adapalene,Medicaid,5,2013,2016,Adapalene,9438561.62,9633000,63383,NA,2016,Complete
Adapalene,Medicaid,5,2013,2017,Adapalene,8737902.46,8729000,60020,NA,2017,Complete
Adcetris,Medicaid,5,2013,2013,Brentuximab Vedotin,7404500.6,7770000,643,NA,2013,Complete
Adcetris,Medicaid,5,2013,2014,Brentuximab Vedotin,9814647.38,10100000,773,NA,2014,Complete
Adcetris,Medicaid,5,2013,2015,Brentuximab Vedotin,16631950.29,17100000,1128,NA,2015,Complete
Adcetris,Medicaid,5,2013,2016,Brentuximab Vedotin,21549137.71,22000000,1371,NA,2016,Complete
Adcetris,Medicaid,5,2013,2017,Brentuximab Vedotin,27547813.32,27500000,1713,NA,2017,Complete
Adcirca,Medicaid,5,2013,2013,Tadalafil,16270167.26,17100000,11063,NA,2013,Complete
Adcirca,Medicaid,5,2013,2014,Tadalafil,21708202.25,22400000,12710,NA,2014,Complete
Adcirca,Medicaid,5,2013,2015,Tadalafil,32663944.58,33600000,15230,NA,2015,Complete
Adcirca,Medicaid,5,2013,2016,Tadalafil,51566476.88,52600000,18057,NA,2016,Complete
Adcirca,Medicaid,5,2013,2017,Tadalafil,59091038.75,59100000,19920,NA,2017,Complete
Adderall XR,Medicaid,5,2013,2013,Dextroamphetamine/Amphetamine,377512240.4,396000000,1519701,NA,2013,Complete
Adderall XR,Medicaid,5,2013,2014,Dextroamphetamine/Amphetamine,399346957.4,413000000,1612001,NA,2014,Complete
Adderall XR,Medicaid,5,2013,2015,Dextroamphetamine/Amphetamine,449228647.3,463000000,1813532,NA,2015,Complete
Adderall XR,Medicaid,5,2013,2016,Dextroamphetamine/Amphetamine,431152306.3,440000000,1778466,NA,2016,Complete
Adderall XR,Medicaid,5,2013,2017,Dextroamphetamine/Amphetamine,380905273,381000000,1633087,NA,2017,Complete
Adefovir Dipivoxil,Medicaid,5,2013,2013,Adefovir Dipivoxil,886816.16,931000,1011,NA,2013,Complete
Adefovir Dipivoxil,Medicaid,5,2013,2014,Adefovir Dipivoxil,3055503.74,3160000,3660,NA,2014,Complete
Adefovir Dipivoxil,Medicaid,5,2013,2015,Adefovir Dipivoxil,3109006.07,3200000,3770,NA,2015,Complete
Adefovir Dipivoxil,Medicaid,5,2013,2016,Adefovir Dipivoxil,2674674.27,2730000,3189,NA,2016,Complete
Adefovir Dipivoxil,Medicaid,5,2013,2017,Adefovir Dipivoxil,2064650.51,2060000,2631,NA,2017,Complete
Adempas,Medicaid,5,2013,2013,Riociguat,138855.81,146000,18,NA,2013,Complete
Adempas,Medicaid,5,2013,2014,Riociguat,4890898.88,5050000,673,NA,2014,Complete
Adempas,Medicaid,5,2013,2015,Riociguat,11656949.08,12000000,1474,NA,2015,Complete
Adempas,Medicaid,5,2013,2016,Riociguat,21044375.96,21500000,2578,NA,2016,Complete
Adempas,Medicaid,5,2013,2017,Riociguat,31552754.84,31600000,3521,NA,2017,Complete
Adenocard,Medicaid,5,2013,2013,Adenosine,31666.41,33200,214,NA,2013,Complete
Adenocard,Medicaid,5,2013,2014,Adenosine,25405.12,26200,307,NA,2014,Complete
Adenocard,Medicaid,5,2013,2015,Adenosine,32644.32,33600,348,NA,2015,Complete
Adenocard,Medicaid,5,2013,2016,Adenosine,35499.63,36200,329,NA,2016,Complete
Adenocard,Medicaid,5,2013,2017,Adenosine,164671.44,165000,289,NA,2017,Complete
Adenoscan,Medicaid,5,2013,2013,Adenosine,1604360.95,1680000,6634,NA,2013,Complete
Adenoscan,Medicaid,5,2013,2014,Adenosine,798042.28,825000,4189,NA,2014,Complete
Adenoscan,Medicaid,5,2013,2015,Adenosine,423011.69,436000,3111,NA,2015,Complete
Adenoscan,Medicaid,5,2013,2016,Adenosine,493877.87,504000,2988,NA,2016,Complete
Adenoscan,Medicaid,5,2013,2017,Adenosine,200237.5,200000,1451,NA,2017,Complete
Adenosine,Medicaid,5,2013,2013,Adenosine,219063.95,229850,1361,NA,2013,Complete
Adenosine,Medicaid,5,2013,2014,Adenosine,642769.9299999999,664900,3170,NA,2014,Complete
Adenosine,Medicaid,5,2013,2015,Adenosine,457150.04000000004,471200,5003,NA,2015,Complete
Adenosine,Medicaid,5,2013,2016,Adenosine,846571.5499999999,863600,7143,NA,2016,Complete
Adenosine,Medicaid,5,2013,2017,Adenosine,1397678.23,1398000,8207,NA,2017,Complete
Adrenalin,Medicaid,5,2013,2013,Epinephrine,56.38,59.2,12,NA,2013,Complete
Adrenalin,Medicaid,5,2013,2014,Epinephrine,70187.98,72500,1756,NA,2014,Complete
Adrenalin,Medicaid,5,2013,2015,Epinephrine,204567.12,211000,4993,NA,2015,Complete
Adrenalin,Medicaid,5,2013,2016,Epinephrine,332042.94,339000,6271,NA,2016,Complete
Adrenalin,Medicaid,5,2013,2017,Epinephrine,646136.76,646000,8473,NA,2017,Complete
Adriamycin,Medicaid,5,2013,2013,Doxorubicin HCl,87246.01,91600,578,NA,2013,Complete
Adriamycin,Medicaid,5,2013,2014,Doxorubicin HCl,9866.42,10200,122,NA,2014,Complete
Adriamycin,Medicaid,5,2013,2015,Doxorubicin HCl,8763.23,9030,102,NA,2015,Complete
Adriamycin,Medicaid,5,2013,2016,Doxorubicin HCl,3270.63,3340,53,NA,2016,Complete
Adriamycin,Medicaid,5,2013,2017,Doxorubicin HCl,4612.1,4610,74,NA,2017,Complete
Adrucil,Medicaid,5,2013,2013,Fluorouracil,383632.02,403000,7872,NA,2013,Complete
Adrucil,Medicaid,5,2013,2014,Fluorouracil,216927.43,224000,7387,NA,2014,Complete
Adrucil,Medicaid,5,2013,2015,Fluorouracil,486926.04,502000,6537,NA,2015,Complete
Adrucil,Medicaid,5,2013,2016,Fluorouracil,602382.45,615000,7161,NA,2016,Complete
Adrucil,Medicaid,5,2013,2017,Fluorouracil,760615.02,761000,6298,NA,2017,Complete
Advair Diskus,Medicaid,5,2013,2013,Fluticasone/Salmeterol,580241321,609000000,2077418,NA,2013,Complete
Advair Diskus,Medicaid,5,2013,2014,Fluticasone/Salmeterol,546195059.8,564000000,1801467,NA,2014,Complete
Advair Diskus,Medicaid,5,2013,2015,Fluticasone/Salmeterol,582961847.7,600000000,1767508,NA,2015,Complete
Advair Diskus,Medicaid,5,2013,2016,Fluticasone/Salmeterol,566718479.5,578000000,1570424,NA,2016,Complete
Advair Diskus,Medicaid,5,2013,2017,Fluticasone/Salmeterol,508931994.4,509000000,1344371,NA,2017,Complete
