Year,Category,brandlvl_spend,brandlvl_claims,brandlvl_avg_spend_perclaim,num_brands
2015,stroke/blood clot/general circulatory,4782708750,26330090,181.64422339612207,38
2016,stroke/blood clot/general circulatory,6187060230,27555958,224.52713239002614,39
2017,stroke/blood clot/general circulatory,8260558420,29800981,277.1908220068326,41
2013,transplant,347013800,923639,375.702844942667,17
2014,transplant,384194200,1048020,366.5905230816206,21
2015,transplant,329510800,1160733,283.8816506466173,21
2016,transplant,286756970,1252336,228.97766254423732,21
2017,transplant,374483060,1308018,286.29809375711955,23
2013,urinary,1246584750,9824042,126.89122766372537,35
2014,urinary,1669020313,11988747,139.21557548924838,38
2015,urinary,1909335190,12674925,150.6387761663284,41
2016,urinary,2101030460,13144026,159.84679732069915,41
2017,urinary,2411946530,15670531,153.91606895771432,48
2013,vaccine,8374490,136629,61.29364922527428,15
2014,vaccine,11028470,180394,61.13545905074448,15
2015,vaccine,15456030,245037,63.07631092447263,16
2016,vaccine,21360780,331362,64.46357759791407,16
2017,vaccine,29975200,462515,64.80914132514621,21
2013,weight change,94764350,940525,100.75686451715796,7
2014,weight change,69508810,766005,90.74197949099549,7
2015,weight change,46907950,612792,76.54791511638533,7
2016,weight change,44674570,593851,75.22858427450657,7
2017,weight change,48491640,634466,76.429060028433355,10
2013,women's health,295553653,5543404,53.31627516233708,106
2014,women's health,352773590,5628704,62.67403473339511,128
2015,women's health,395498140,5828071,67.86089942967408,138
2016,women's health,441293450,6044022,73.01321040856568,138
2017,women's health,888390640,8900163,99.81734491828969,204
