Brand Name,Year,Generic Name,Category,num_manufac,Inf Total Spend,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries
Actoplus Met,2014,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,1440000,1394246.14,212245,2583,921
Actoplus Met,2015,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,952000,924537.31,116352,1351,321
Actoplus Met,2016,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,748000,733373.29,83887,952,216
Actoplus Met,2017,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,610000,609761.63,64831,712,161
Actoplus Met XR,2013,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,3130000,2982026.5,420808,5606,1478
Actoplus Met XR,2014,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,2800000,2711238.52,313926,4029,1110
Actoplus Met XR,2015,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,2890000,2801788.81,270702,3356,878
Actoplus Met XR,2016,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,2810000,2754835.69,246672,2976,732
Actoplus Met XR,2017,Pioglitazone HCl/Metformin HCl,diabetes/insulin,1,2700000,2700191.45,228128,2555,617
Actos,2013,Pioglitazone HCl,diabetes/insulin,1,36000000,34240903.06,3481531.03,86671,25932
Actos,2014,Pioglitazone HCl,diabetes/insulin,1,7210000,6975591.33,579784,13226,4097
Actos,2015,Pioglitazone HCl,diabetes/insulin,1,5000000,4854885.56,331403,6756,1547
Actos,2016,Pioglitazone HCl,diabetes/insulin,1,3930000,3850687.67,240651,4711,1055
Actos,2017,Pioglitazone HCl,diabetes/insulin,1,3430000,3428174.99,195724,3750,808
Acular,2013,Ketorolac Tromethamine,other,1,198000,188135.47,6307,995,506
Acular,2014,Ketorolac Tromethamine,other,1,144000,139160.06,4440,706,359
Acular,2015,Ketorolac Tromethamine,other,1,109000,105496.14,2991,451,202
Acular,2016,Ketorolac Tromethamine,other,1,110000,107631.23,2775,439,204
Acular,2017,Ketorolac Tromethamine,other,1,104000,104287.51,2815,431,222
Acular Ls,2013,Ketorolac Tromethamine,eye,1,260000,247413.88,7847,1375,772
Acular Ls,2014,Ketorolac Tromethamine,eye,1,358000,346808.81,10925,1978,1253
Acular Ls,2015,Ketorolac Tromethamine,eye,1,131000,127423.16,3421,573,277
Acular Ls,2016,Ketorolac Tromethamine,eye,1,92900,91009.22,2131,347,161
Acular Ls,2017,Ketorolac Tromethamine,eye,1,62500,62510.71,1300,207,97
Acuvail,2013,Ketorolac Tromethamine/PF,eye,1,1270000,1204871.13,199594,5291,3337
Acuvail,2014,Ketorolac Tromethamine/PF,eye,1,671000,649436.21,99095,2462,1449
Acuvail,2015,Ketorolac Tromethamine/PF,eye,1,536000,520734.95,70525,1655,877
Acuvail,2016,Ketorolac Tromethamine/PF,eye,1,491000,481254.14,56785,1320,630
Acuvail,2017,Ketorolac Tromethamine/PF,eye,1,350000,349931.47,38222,826,408
Acyclovir Sodium,2013,Acyclovir Sodium,STI,1,42600,40567.23,52216.08,149,150
Acyclovir Sodium,2014,Acyclovir Sodium,STI,2,69200,66942.87,77929.64600000001,238,150
Acyclovir Sodium,2015,Acyclovir Sodium,STI,2,60300,58561.15000000001,75870.3,271,138
Acyclovir Sodium,2016,Acyclovir Sodium,STI,2,73200,71799.85,148126.31,361,127
Acyclovir Sodium,2017,Acyclovir Sodium,STI,2,55000,54997.62,101247.77,328,114
Acyclovir*,2013,Acyclovir,STI,9,41349140,39330401.61,78519995.38,1289915,609934
Acyclovir*,2014,Acyclovir,STI,16,56709718,54884233.83,89553690.948,1483159,687414
Acyclovir*,2015,Acyclovir,STI,16,58888620,57101137.550000004,97341456.898,1578849,728471
Acyclovir*,2016,Acyclovir,STI,16,58232670,57069099.9,104376976.502,1662528,776313
Acyclovir*,2017,Acyclovir,STI,19,46243790,46245961.58,113184702.017,1718026,789181
Aczone,2013,Dapsone,acne,1,964000,917874.89,152190,2152,2705
Aczone,2014,Dapsone,acne,1,1380000,1331696.77,202005,2668,3498
Aczone,2015,Dapsone,acne,1,1110000,1081365.89,152190,1896,2573
Aczone,2016,Dapsone,acne,1,1730000,1695851.35,217530,2939,1894
Aczone,2017,Dapsone,acne,1,2090000,2087142.73,241410,3396,1938
Adacel Tdap,2013,"Diph,Pertuss(Acell),Tet Vac/PF",immune system,1,8630000,8217753.66,106469.616,146032,144430
Adacel Tdap,2014,"Diph,Pertuss(Acell),Tet Vac/PF",immune system,1,10100000,9782644.14,135511.16,180114,179174
Adacel Tdap,2015,"Diph,Pertuss(Acell),Tet Vac/PF",immune system,1,11300000,10998965.2,126052.182,189822,188973
Adacel Tdap,2016,"Diph,Pertuss(Acell),Tet Vac/PF",immune system,1,10200000,10032153.66,106893.481,167808,167176
Adacel Tdap,2017,"Diph,Pertuss(Acell),Tet Vac/PF",immune system,1,10100000,10051659.86,110223.346,170184,168992
Adalat Cc,2013,Nifedipine,blood pressure,1,326000,310028.74,152246,2962,580
Adalat Cc,2014,Nifedipine,blood pressure,1,308000,298337.51,141720,2682,514
Adalat Cc,2015,Nifedipine,blood pressure,1,279000,271043.52,129664,2278,439
Adalat Cc,2016,Nifedipine,blood pressure,1,246000,240665.15,113423,1902,394
Adalat Cc,2017,Nifedipine,blood pressure,1,60000,59955.18,23661,468,215
Adapalene,2013,Adapalene,acne,5,1464000,1394441.8900000001,396914.5,8246,4813
Adapalene,2014,Adapalene,acne,7,1919200,1856526.09,514940,10705,6021
Adapalene,2015,Adapalene,acne,7,1687700,1639774.19,480775,9983,5587
Adapalene,2016,Adapalene,acne,7,1439200,1409156.59,442757,9238,5400
Adapalene,2017,Adapalene,acne,8,1523300,1523528.9,481411,10061,5759
Adcirca,2013,Tadalafil,blood pressure,1,117000000,111240216.9,3880460,62507,8773
Adcirca,2014,Tadalafil,blood pressure,1,162000000,156611839.7,4577842,74347,9915
Adcirca,2015,Tadalafil,blood pressure,1,219000000,212505630,5109163,83465,10653
Adcirca,2016,Tadalafil,blood pressure,1,282000000,275975645.5,5468516.1,89381,10987
Adcirca,2017,Tadalafil,blood pressure,1,322000000,322470821.8,5323519.7,87141,10406
Adderall XR,2013,Dextroamphetamine/Amphetamine,ADHD,1,9720000,9257638.44,1515924,25777,6025
Adderall XR,2014,Dextroamphetamine/Amphetamine,ADHD,1,9100000,8808169.4,1491290,24969,5720
Adderall XR,2015,Dextroamphetamine/Amphetamine,ADHD,1,9440000,9167774.03,1597283,26653,6047
Adderall XR,2016,Dextroamphetamine/Amphetamine,ADHD,1,9170000,8987834.37,1681371,27188,6225
Adderall XR,2017,Dextroamphetamine/Amphetamine,ADHD,1,7770000,7772310.18,1553140,31664,5964
Adefovir Dipivoxil,2013,Adefovir Dipivoxil,liver,1,1130000,1075107.8,36172,984,454
Adefovir Dipivoxil,2014,Adefovir Dipivoxil,liver,1,6400000,6199183.65,208244,5621,947
Adefovir Dipivoxil,2015,Adefovir Dipivoxil,liver,1,7120000,6916040.11,239914,6756,974
Adefovir Dipivoxil,2016,Adefovir Dipivoxil,liver,1,6310000,6185377.12,232352,6440,938
Adefovir Dipivoxil,2017,Adefovir Dipivoxil,liver,1,5860000,5857506.13,207758,6405,845
Adempas,2013,Riociguat,blood pressure,1,1490000,1419291.79,16470,184,141
Adempas,2014,Riociguat,blood pressure,1,49400000,47776208.03,546780,6166,1145
Adempas,2015,Riociguat,blood pressure,1,115000000,111676353.3,1194278,13511,1943
Adempas,2016,Riociguat,blood pressure,1,187000000,182775600.9,1835807,20989,2782
Adempas,2017,Riociguat,blood pressure,1,241000000,240973071,2267666,26188,3113
Advair Diskus,2013,Fluticasone/Salmeterol,asthma/respiratory,1,2380000000,2262995221,492962519.6,6605423,1527221
Advair Diskus,2014,Fluticasone/Salmeterol,asthma/respiratory,1,2350000000,2276374749,460372139.4,6094244,1420750
Advair Diskus,2015,Fluticasone/Salmeterol,asthma/respiratory,1,2340000000,2270015726,430415878.3,5649301,1321497
Advair Diskus,2016,Fluticasone/Salmeterol,asthma/respiratory,1,2370000000,2320125120,401111250.2,5195116,1196224
Advair Diskus,2017,Fluticasone/Salmeterol,asthma/respiratory,1,2370000000,2374829262,381843204.4,4881672,1135906
Advair HFA,2013,Fluticasone/Salmeterol,asthma/respiratory,1,129000000,122441763.3,4972281.8,349136,100672
Advair HFA,2014,Fluticasone/Salmeterol,asthma/respiratory,1,143000000,138545945.1,5245448.2,363640,103094
Advair HFA,2015,Fluticasone/Salmeterol,asthma/respiratory,1,167000000,162068026.9,5758006.3,397865,111407
Advair HFA,2016,Fluticasone/Salmeterol,asthma/respiratory,1,195000000,191547446.5,6191517.6,423138,114090
Advair HFA,2017,Fluticasone/Salmeterol,asthma/respiratory,1,228000000,227906083.3,6778466.8,459945,120487
Advocate Pen Needles,2013,"Pen Needle, Diabetic",diabetes/insulin,1,396000,377265.73,1303360,5921,4267
Advocate Pen Needles,2014,"Pen Needle, Diabetic",diabetes/insulin,1,218000,211154.08,576820,3279,1270
Advocate Pen Needles,2015,"Pen Needle, Diabetic",diabetes/insulin,1,226000,219763.44,529456,3581,1284
Advocate Pen Needles,2016,"Pen Needle, Diabetic",diabetes/insulin,1,375000,367844.7,848909,7083,2451
Advocate Pen Needles,2017,"Pen Needle, Diabetic",diabetes/insulin,1,754000,753539.34,1624489,13865,4780
Advocate Syringes,2013,"Syring-Needl,Disp,Insul,0.3 Ml",diabetes/insulin,1,134000,127468.56,427930,1940,1273
Advocate Syringes,2013,"Syringe And Needle,Insulin,1ml",diabetes/insulin,1,197000,187539.16,626615,2740,1653
Advocate Syringes,2013,"Syringe-Needle,Insulin,0.5 Ml",diabetes/insulin,1,145000,138188.7,461020,2156,1252
Advocate Syringes,2014,"Syring-Needl,Disp,Insul,0.3 Ml",diabetes/insulin,1,18000,17417.66,51930,379,183
Advocate Syringes,2014,"Syringe And Needle,Insulin,1ml",diabetes/insulin,1,123000,119343.38,366055,1961,1152
Advocate Syringes,2014,"Syringe-Needle,Insulin,0.5 Ml",diabetes/insulin,1,51700,50031.11,149448,1182,437
Advocate Syringes,2015,"Syring-Needl,Disp,Insul,0.3 Ml",diabetes/insulin,1,46200,44890.44,110520,1039,421
Advocate Syringes,2015,"Syringe And Needle,Insulin,1ml",diabetes/insulin,1,104000,101125.46,241603,2260,776
Advocate Syringes,2015,"Syringe-Needle,Insulin,0.5 Ml",diabetes/insulin,1,111000,108176.02,260397,2649,843
Advocate Syringes,2016,"Syring-Needl,Disp,Insul,0.3 Ml",diabetes/insulin,1,57800,56646.74,124284,1424,506
Advocate Syringes,2016,"Syringe And Needle,Insulin,1ml",diabetes/insulin,1,145000,142271.9,308281,3213,952
Advocate Syringes,2016,"Syringe-Needle,Insulin,0.5 Ml",diabetes/insulin,1,141000,137847.29,303950,3442,1007
Advocate Syringes,2017,"Syring-Needl,Disp,Insul,0.3 Ml",diabetes/insulin,1,47600,47581.62,95616,1283,390
Advocate Syringes,2017,"Syringe And Needle,Insulin,1ml",diabetes/insulin,1,166000,165968.41,346347,3513,1147
Advocate Syringes,2017,"Syringe-Needle,Insulin,0.5 Ml",diabetes/insulin,1,155000,155444.32,319674,3641,1164
Afinitor,2013,Everolimus,chemotherapy/cancer,1,288000000,274314552.5,941564,32061,7557
Afinitor,2014,Everolimus,chemotherapy/cancer,1,364000000,352766190.4,1041248.1,36001,8005
Afinitor,2015,Everolimus,chemotherapy/cancer,1,405000000,393023690.9,1034521,35880,7653
Afinitor,2016,Everolimus,chemotherapy/cancer,1,354000000,347373203,825739,28843,5954
Afinitor,2017,Everolimus,chemotherapy/cancer,1,345000000,344778681.3,725428,25473,5545
Aggrenox,2013,Aspirin/Dipyridamole,stroke/blood clot/general circulatory,1,337000000,321026929.6,72358517.71,1005862,159850
Aggrenox,2014,Aspirin/Dipyridamole,stroke/blood clot/general circulatory,1,336000000,325662058.9,61683336.98,844292,135067
Aggrenox,2015,Aspirin/Dipyridamole,stroke/blood clot/general circulatory,1,241000000,234269235.9,36556293.07,504021,101410
Aggrenox,2016,Aspirin/Dipyridamole,stroke/blood clot/general circulatory,1,91700000,89841610.12,11532878.4,171806,29076
Aggrenox,2017,Aspirin/Dipyridamole,stroke/blood clot/general circulatory,1,57400000,57412389.92,6919527.867,101117,19726
Agrylin,2013,Anagrelide HCl,stroke/blood clot/general circulatory,1,248000,236612.23,34327,287,60
Agrylin,2014,Anagrelide HCl,stroke/blood clot/general circulatory,1,301000,291187.62,36545,326,65
Agrylin,2015,Anagrelide HCl,stroke/blood clot/general circulatory,1,841000,816809.52,104224,910,471
Agrylin,2016,Anagrelide HCl,stroke/blood clot/general circulatory,1,960000,940637.06,118824,1207,455
Agrylin,2017,Anagrelide HCl,stroke/blood clot/general circulatory,1,284000,283667.15,36799,321,65
Ak-Poly-Bac,2013,Bacitracin/Polymyxin B Sulfate,eye,1,228000,217170.51,36897.25,10082,6428
Ak-Poly-Bac,2014,Bacitracin/Polymyxin B Sulfate,eye,1,184000,177802.07,34473,9456,6065
Ak-Poly-Bac,2015,Bacitracin/Polymyxin B Sulfate,eye,1,135000,130880.15,25827,7048,4981
Ak-Poly-Bac,2016,Bacitracin/Polymyxin B Sulfate,eye,1,44100,43222.79,9288.5,2493,1854
Ak-Poly-Bac,2017,Bacitracin/Polymyxin B Sulfate,eye,1,13400,13353.49,2893.5,802,655
Ala-Scalp,2013,Hydrocortisone,dermatology,1,11900,11345.13,2932,78,58
Ala-Scalp,2014,Hydrocortisone,dermatology,1,17700,17091.75,2358.2,63,49
Ala-Scalp,2015,Hydrocortisone,dermatology,1,34400,33399.61,3381.6,99,86
Ala-Scalp,2016,Hydrocortisone,dermatology,1,47600,46655.03,4326.4,130,99
Ala-Scalp,2017,Hydrocortisone,dermatology,1,80600,80638.68,6402.8,185,138
Albenza,2013,Albendazole,parasite,1,4550000,4333797.32,94535,7193,5619
Albenza,2014,Albendazole,parasite,1,9880000,9566410.5,91127,7524,5760
Albenza,2015,Albendazole,parasite,1,10400000,10139273.51,81390,7217,5548
Albenza,2016,Albendazole,parasite,1,10400000,10227068.37,62707,6057,4540
Albenza,2017,Albendazole,parasite,1,10400000,10436868.73,57782,5470,4087
Albuterol Sulfate*,2013,Albuterol Sulfate,asthma/respiratory,9,29954600,28514343.96,88428801.611,764425,257880
Albuterol Sulfate*,2014,Albuterol Sulfate,asthma/respiratory,9,36267900,35058153.32,82958283.601,701758,239870
Albuterol Sulfate*,2015,Albuterol Sulfate,asthma/respiratory,9,28851900,27976502.62,66907504.669,571387,210423
Albuterol Sulfate*,2016,Albuterol Sulfate,asthma/respiratory,9,25725900,25182367.42,66979765.905,571049,205564
Albuterol Sulfate*,2017,Albuterol Sulfate,asthma/respiratory,12,25604180,25616601.080000002,73584908.253,634552,242935
Alclometasone Dipropionate,2013,Alclometasone Dipropionate,dermatology,3,1745000,1662234.0099999998,1502628.048,34661,23884
Alclometasone Dipropionate,2014,Alclometasone Dipropionate,dermatology,3,2238000,2166514.31,1539156.846,36349,25555
