Year,Category,num_yrs,first_year,brandlvl_spend,brandlvl_claims,brandlvl_avg_spend_perclaim,num_brands
2015,immune system,5,2013,1152289000,637233,1808.2695026779843,24
2016,immune system,3,2015,8910000,145,61448.275862068964,1
2016,immune system,4,2014,43560000,5766,7554.630593132154,3
2016,immune system,5,2013,1316171000,629845,2089.674443712342,24
2017,immune system,1,2017,33173000,11526,2878.1016831511365,4
2017,immune system,3,2015,14800000,198,74747.47474747474,1
2017,immune system,4,2014,73760000,9084,8119.771025979745,3
2017,immune system,5,2013,1500511950,717256,2092.0172853207223,24
2013,infection/parasite,5,2013,2391463777,62126022,38.493753503161685,172
2014,infection/parasite,3,2014,41600,47,885.1063829787234,1
2014,infection/parasite,4,2014,33888400,189899,178.45486284814558,14
2014,infection/parasite,5,2013,2230410139,67435485,33.07472525777786,172
2015,infection/parasite,3,2014,63200,76,831.578947368421,1
2015,infection/parasite,3,2015,52678000,25860,2037.045630317092,10
2015,infection/parasite,4,2014,67390500,297449,226.56152819474934,14
2015,infection/parasite,5,2013,2522096343,73687527,34.226909840521586,172
2016,infection/parasite,3,2014,26800,54,496.2962962962963,1
2016,infection/parasite,3,2015,59171000,47405,1248.2016664908765,10
2016,infection/parasite,4,2014,61189100,250643,244.12850149415704,14
2016,infection/parasite,5,2013,2380336567,75941180,31.344476962301613,172
2017,infection/parasite,1,2017,114163320,448442,254.57767113695863,35
2017,infection/parasite,3,2015,70031500,85259,821.3971545525985,10
2017,infection/parasite,4,2014,61691380,231090,266.9582413778182,14
2017,infection/parasite,5,2013,2371247560,85270912,27.808399187755843,172
2013,kidney,5,2013,1736769310,4915027,353.35905784444316,15
2014,kidney,4,2014,96729750,129576,746.5097703278385,4
2014,kidney,5,2013,2006786580,6178977,324.7765091211701,15
2015,kidney,3,2015,8470000,8922,949.3387132929836,2
2015,kidney,4,2014,63029000,62415,1009.8373788352159,4
2015,kidney,5,2013,2631205100,7484246,351.56582239546907,15
2016,kidney,3,2015,24018000,23382,1027.2004105722351,2
2016,kidney,4,2014,84565000,62596,1350.9649178861268,4
2016,kidney,5,2013,3121565660,8548215,365.1716364176615,15
2017,kidney,1,2017,1494900,2331,641.3127413127413,4
2017,kidney,3,2015,65638000,55834,1175.591933230648,2
2017,kidney,4,2014,103587700,66289,1562.6680143010153,4
2017,kidney,5,2013,3157161720,11686768,270.1484037331793,15
2013,liver,5,2013,253095400,457248,553.5188781580237,18
2014,liver,4,2014,742170000,45735,16227.61561167596,3
2014,liver,5,2013,4280958800,595079,7193.933578566879,18
2015,liver,3,2015,342000000,13131,26045.23646333105,2
2015,liver,4,2014,7308337000,302714,24142.71226306018,3
2015,liver,5,2013,1539477900,392456,3922.676427421163,18
2016,liver,3,2015,491300000,21718,22621.78837830371,2
2016,liver,4,2014,4563280000,234971,19420.609351792347,3
2016,liver,5,2013,1028098100,438607,2344.0075055801663,18
2017,liver,1,2017,1533828000,133659,11475.680650012346,6
2017,liver,3,2015,144750000,6702,21598.03043867502,2
2017,liver,4,2014,2621069000,182227,14383.538114549436,3
2017,liver,5,2013,257906100,378786,680.8754811423864,18
2013,men's health,5,2013,1319849530,15845188,83.29655224033947,23
2014,men's health,4,2014,4817460,10001,481.6978302169783,3
2014,men's health,5,2013,1283505410,17086246,75.11921635682876,23
2015,men's health,3,2015,32670100,147117,222.0688295710217,6
2015,men's health,4,2014,24099130,48038,501.6680544568883,3
2015,men's health,5,2013,1366090340,19230144,71.03900730020534,23
2016,men's health,3,2015,115843400,940142,123.21904563353196,6
2016,men's health,4,2014,23074490,51091,451.635121645691,3
2016,men's health,5,2013,1164178260,21772801,53.46938411828593,23
2017,men's health,1,2017,1779880,642,2772.398753894081,4
2017,men's health,3,2015,84772000,931555,91.0005313695917,6
2017,men's health,4,2014,36256630,118559,305.8108621024131,3
2017,men's health,5,2013,1191712400,23905690,49.85057532328077,23
2013,mental health,5,2013,9501588741,107564569,88.33381502230534,142
2014,mental health,4,2014,11591000,20013,579.1735372008195,7
2014,mental health,5,2013,9397043477,113759157,82.60472145552204,142
2015,mental health,3,2015,1192620400,2276060,523.9846049752642,12
2015,mental health,4,2014,101636000,149611,679.3350756294658,7
2015,mental health,5,2013,8102736313,123066405,65.84035921907363,142
2016,mental health,2,2016,61800,139,444.6043165467626,1
2016,mental health,3,2015,2025168100,5696118,355.53478702512837,12
2016,mental health,4,2014,124453000,161638,769.9488981551368,7
2016,mental health,5,2013,6552410724,126096922,51.963288398110144,142
2017,mental health,1,2017,606541800,1081603,560.7804342258667,16
2017,mental health,2,2016,360000,727,495.1856946354883,1
2017,mental health,3,2015,1833139730,6671512,274.7712557513199,12
2017,mental health,4,2014,126940000,151340,838.7736223073873,7
2017,mental health,5,2013,6926840101,143095220,48.40720815831584,142
2013,metabolism/endocrine system,5,2013,744353823,48817029,15.247831304932546,31
2014,metabolism/endocrine system,4,2014,73910,2425,30.478350515463916,2
2014,metabolism/endocrine system,5,2013,1045750298,53860379,19.415947630075163,31
2015,metabolism/endocrine system,3,2015,19895000,4921,4042.8774639300955,5
2015,metabolism/endocrine system,4,2014,858000,17598,48.755540402318445,2
2015,metabolism/endocrine system,5,2013,1249143737,57184249,21.844192392908752,31
2016,metabolism/endocrine system,3,2015,43781000,8993,4868.342043811854,5
2016,metabolism/endocrine system,4,2014,1524000,25320,60.18957345971564,2
2016,metabolism/endocrine system,5,2013,1316595963,60221117,21.86269582146741,31
2017,metabolism/endocrine system,1,2017,23522780,148119,158.8100108696386,8
2017,metabolism/endocrine system,3,2015,65677000,10980,5981.511839708561,5
2017,metabolism/endocrine system,4,2014,1532000,30080,50.930851063829785,2
2017,metabolism/endocrine system,5,2013,1438864970,66248533,21.719197465097075,31
2013,nausea,5,2013,202711550,6494611,31.212269680201015,22
2014,nausea,5,2013,221375800,7332668,30.190348178862045,22
2015,nausea,3,2015,414100,586,706.6552901023891,2
2015,nausea,5,2013,223369350,7928050,28.1745637325698,22
2016,nausea,3,2015,3557000,4306,826.0566651184394,2
2016,nausea,5,2013,206039560,8395193,24.54256382193953,22
2017,nausea,1,2017,8484000,5607,1513.1086142322097,2
2017,nausea,3,2015,4285000,5141,833.4954289048824,2
2017,nausea,5,2013,224225300,10028812,22.358111808258048,22
2013,nervous system,3,2013,98500,223,441.70403587443946,1
2013,nervous system,5,2013,5576780435,30035437,185.67335760754872,72
2014,nervous system,3,2013,155700,234,665.3846153846154,1
2014,nervous system,4,2014,13638000,10400,1311.3461538461538,3
2014,nervous system,5,2013,6768929460,33273161,203.4351187733561,72
2015,nervous system,3,2013,312000,251,1243.0278884462152,1
2015,nervous system,3,2015,844676200,1028497,821.2724004056405,12
2015,nervous system,4,2014,78902000,26037,3030.379844068057,3
2015,nervous system,5,2013,7255250098,33915236,213.923031465858,72
2016,nervous system,3,2015,1622284600,3190932,508.40462911776245,12
2016,nervous system,4,2014,80214000,22432,3575.873751783167,3
2016,nervous system,5,2013,6669913883,32412068,205.78489107822432,72
2017,nervous system,1,2017,24269000,66326,365.9047733920333,5
2017,nervous system,3,2015,1844225380,4651386,396.489429172294,12
2017,nervous system,4,2014,85390000,26238,3254.440125009528,3
2017,nervous system,5,2013,6620077200,39920660,165.83085550188798,72
2013,nutrition/vitamins/dietary supplements,5,2013,327539040,10423192,31.424062801491136,47
2014,nutrition/vitamins/dietary supplements,4,2014,22528040,795575,28.31667661754077,12
2014,nutrition/vitamins/dietary supplements,5,2013,334457130,10915478,30.64063067141906,47
2015,nutrition/vitamins/dietary supplements,3,2015,4817820,18701,257.6236564889578,7
2015,nutrition/vitamins/dietary supplements,4,2014,104552800,4006895,26.093221808906897,12
2015,nutrition/vitamins/dietary supplements,5,2013,402657830,13289497,30.298951871541863,47
2016,nutrition/vitamins/dietary supplements,3,2015,16412910,220107,74.56786926358544,7
2016,nutrition/vitamins/dietary supplements,4,2014,85471500,3457677,24.719341916552644,12
2016,nutrition/vitamins/dietary supplements,5,2013,401948630,13620669,29.510197333185324,47
2017,nutrition/vitamins/dietary supplements,1,2017,2252779,91003,24.75499708800809,39
2017,nutrition/vitamins/dietary supplements,3,2015,21517600,521555,41.25662681788114,7
2017,nutrition/vitamins/dietary supplements,4,2014,68989200,2684955,25.694732313949395,12
2017,nutrition/vitamins/dietary supplements,5,2013,602335040,17570798,34.28046011342228,47
2013,osteoporosis/bone health,5,2013,1322643390,7260173,182.17794396910378,16
2014,osteoporosis/bone health,4,2014,279778610,1058611,264.2884024443351,2
2014,osteoporosis/bone health,5,2013,1046633900,6080750,172.12250133618386,16
2015,osteoporosis/bone health,3,2015,10430000,44497,234.39782457244308,1
2015,osteoporosis/bone health,4,2014,349475900,1547671,225.8076167350813,2
2015,osteoporosis/bone health,5,2013,823036950,4993693,164.81528800428862,16
2016,osteoporosis/bone health,3,2015,15030000,66467,226.1272511170957,1
2016,osteoporosis/bone health,4,2014,250387400,1310972,190.99370543383077,2
2016,osteoporosis/bone health,5,2013,838791250,5411721,154.99528708150328,16
2017,osteoporosis/bone health,1,2017,5133400,1043,4921.76414189837,2
2017,osteoporosis/bone health,3,2015,10290000,48857,210.61465092003192,1
2017,osteoporosis/bone health,4,2014,201827300,1398560,144.31079109941655,2
2017,osteoporosis/bone health,5,2013,973546890,8744252,111.33563968650492,16
2013,other,1,2013,7150000,118,60593.220338983054,1
2013,other,5,2013,948343600,3425257,276.86786714106415,26
2014,other,4,2014,565000,174,3247.1264367816093,2
2014,other,5,2013,638610500,2468846,258.6676123176577,26
2015,other,3,2015,15022100,2158,6961.1214087117705,6
2015,other,4,2014,1996000,375,5322.666666666667,2
2015,other,5,2013,461538800,1901024,242.78430992980626,26
2016,other,3,2015,43796300,11413,3837.4047139227196,6
2016,other,4,2014,1844000,342,5391.812865497076,2
2016,other,5,2013,438367000,1692599,258.9904637778942,26
2017,other,1,2017,79476791,110885,716.7497046489607,8
2017,other,3,2015,51511900,14881,3461.588602916471,6
2017,other,4,2014,3556000,559,6361.359570661896,2
2017,other,5,2013,492318800,1629893,302.05590182913846,26
2013,opioid,4,2013,3200,92,34.78260869565217,1
2013,opioid,5,2013,5473883730,59550033,91.92075057288382,111
2014,opioid,4,2013,6120,102,60,1
2014,opioid,4,2014,37306900,108824,342.8186797030067,17
2014,opioid,5,2013,6562117370,71765058,91.43889175147048,111
2015,opioid,3,2015,87139500,193845,449.53184245144314,13
2015,opioid,4,2013,9410,75,125.46666666666667,1
2015,opioid,4,2014,501469040,2716815,184.5797523938877,17
2015,opioid,5,2013,6344289212,78293220,81.03242160687732,111
2016,opioid,3,2015,215051000,457303,470.2593247802879,13
2016,opioid,4,2013,11100,83,133.73493975903614,1
2016,opioid,4,2014,430801900,2642171,163.0484552286737,17
2016,opioid,5,2013,6963227650,79478460,87.61150694162922,111
2017,opioid,1,2017,66498200,1946390,34.164889873047024,21
2017,opioid,3,2015,170637100,332152,513.7319660878152,13
2017,opioid,4,2014,420760830,3278439,128.3418206042571,17
2017,opioid,5,2013,6919555075,95088870,72.76934803200416,111
2013,procedurerelated,5,2013,62936620,1622038,38.80095287533338,15
2014,procedurerelated,5,2013,76005570,1852046,41.03870530213612,15
2015,procedurerelated,3,2015,7740,189,40.95238095238095,1
2015,procedurerelated,5,2013,85322080,2063012,41.35801439836511,15
2016,procedurerelated,3,2015,16900,395,42.78481012658228,1
2016,procedurerelated,5,2013,91527080,2210666,41.4024913759021,15
2017,procedurerelated,1,2017,1226600,5497,223.1398944879025,3
2017,procedurerelated,3,2015,26500,586,45.22184300341297,1
2017,procedurerelated,5,2013,104106620,2363717,44.043605896983436,15
2013,rare genetic,4,2013,2360000,99,23838.383838383837,1
2013,rare genetic,5,2013,16839000,1455,11573.19587628866,4
2014,rare genetic,4,2013,2130000,90,23666.666666666668,1
2014,rare genetic,5,2013,20758000,1323,15690.098261526833,4
2015,rare genetic,3,2015,7220000,277,26064.981949458484,1
2015,rare genetic,5,2013,22272000,1254,17760.765550239234,4
2016,rare genetic,1,2016,4510000,129,34961.24031007752,1
2016,rare genetic,3,2015,13200000,508,25984.251968503937,1
2016,rare genetic,4,2013,1230000,59,20847.457627118645,1
2016,rare genetic,5,2013,24742000,1252,19761.980830670927,4
2017,rare genetic,3,2015,15300000,620,24677.41935483871,1
2017,rare genetic,4,2013,2140000,92,23260.869565217392,1
2017,rare genetic,5,2013,23761000,1050,22629.52380952381,4
2013,seizure disorder,5,2013,1982313910,41720859,47.51373671381023,61
2014,seizure disorder,4,2014,8281000,11422,725.0043775170723,3
2014,seizure disorder,5,2013,2289512469,47135566,48.5729283276242,61
2015,seizure disorder,4,2014,30274000,35400,855.1977401129943,3
2015,seizure disorder,5,2013,2494096494,51508631,48.42094316193339,61
