Manufacturer,Year,avg_spend_per_claim_status,manufacturer_diff,price_status_drugs
Actavis Pharma,2016,above_average,15769194.999999998,7
Actavis Pharma,2016,at_average,0,4
Actavis Pharma,2016,below_average,-24628398.5,13
Actavis Pharma,2017,above_average,735416,3
Actavis Pharma,2017,at_average,0,1
Actavis Pharma,2017,below_average,-1377844.04,21
Actavis Pharma/,2013,above_average,3972314.5,2
Actavis Pharma/,2013,below_average,-846328,1
Actavis Pharma/,2014,above_average,2286694.8,2
Actavis Pharma/,2014,below_average,-740850.4000000004,1
Actavis Pharma/,2015,above_average,2439065,2
Actavis Pharma/,2015,below_average,-986346.4000000005,1
Actavis Pharma/,2016,above_average,1660745.399999999,3
Actavis Pharma/,2017,above_average,162673874.18,78
Actavis Pharma/,2017,at_average,0,39
Actavis Pharma/,2017,below_average,-144190723.21,114
Actavis Pharma/*,2017,above_average,4706146.9,1
Actavis Pharma/*,2017,below_average,-5490072,1
Actavis U.S. Br,2013,above_average,587676,1
Actavis U.S. Br,2013,at_average,0,3
Actavis U.S. Br,2014,above_average,2579008,1
Actavis U.S. Br,2014,at_average,0,3
Actavis U.S. Br,2015,at_average,0,1
Actavis U.S. Br,2015,below_average,-1450987,3
Actavis U.S. Br,2016,at_average,0,1
Actavis U.S. Br,2016,below_average,-1755419,3
Actavis U.S. Br,2017,at_average,0,2
Actavis U.S. Br,2017,below_average,-762192,4
Actavis/Allerga,2013,at_average,0,24
Actavis/Allerga,2014,at_average,0,26
Actavis/Allerga,2015,at_average,0,27
Actavis/Allerga,2016,at_average,0,27
Actavis/Allerga,2017,at_average,0,26
Actavis/Allerga,2017,below_average,-8533,1
Actavis/Allerga*,2013,at_average,0,1
Actavis/Allerga*,2014,at_average,0,1
Actavis/Allerga*,2015,at_average,0,1
Actavis/Allerga*,2016,at_average,0,1
Actavis/Allerga*,2017,at_average,0,1
Actavis/Greenst,2013,below_average,-485718.7999999995,1
Actavis/Greenst,2014,below_average,-1546109.7999999993,2
Actavis/Greenst,2015,above_average,299739,1
Actavis/Greenst,2015,below_average,-1959545.6000000003,2
Actavis/Greenst,2016,above_average,434322,1
Actavis/Greenst,2016,below_average,-1131137,2
Actavis/Greenst,2017,above_average,209620,1
Actavis/Greenst,2017,below_average,-693015,2
Actavis/Impax G,2013,at_average,0,1
Actavis/Impax G,2013,below_average,-7210582.039999999,2
Actavis/Impax G,2014,above_average,267657.65,2
Actavis/Impax G,2014,below_average,-6475945.8,2
Actavis/Impax G,2015,above_average,746166,2
Actavis/Impax G,2015,below_average,-4508846.299999999,4
Actavis/Impax G,2016,below_average,-3812292.0200000005,6
Actavis/Impax G,2017,above_average,1630186.5000000002,2
Actavis/Impax G,2017,below_average,-2445216.35,12
Actavis/Mayne P,2013,above_average,45204,1
Actavis/Mayne P,2014,above_average,61108,1
Actavis/Mayne P,2014,at_average,0,2
Actavis/Mayne P,2014,below_average,-1877700.0000000005,1
Actavis/Mayne P,2015,above_average,14509,1
Actavis/Mayne P,2015,at_average,0,2
Actavis/Mayne P,2015,below_average,-3347199,1
Actavis/Mayne P,2016,above_average,44764,1
Actavis/Mayne P,2016,at_average,0,2
Actavis/Mayne P,2016,below_average,-4874371.399999999,1
Actavis/Mayne P,2017,above_average,2965,1
Actavis/Mayne P,2017,at_average,0,1
Actavis/Mayne P,2017,below_average,-1290995.8,8
Actelion Pharma,2013,at_average,0,4
Actelion Pharma,2014,at_average,0,4
Actelion Pharma,2015,at_average,0,4
Actelion Pharma,2016,at_average,0,4
Actelion Pharma,2017,at_average,0,6
Adapt Pharma In,2017,at_average,0,1
Aegerion Pharma,2013,at_average,0,1
Aegerion Pharma,2014,at_average,0,1
Aegerion Pharma,2015,at_average,0,1
Aegerion Pharma,2016,at_average,0,1
Aegerion Pharma,2017,at_average,0,2
"Afaxys, Inc.",2015,at_average,0,1
"Afaxys, Inc.",2016,at_average,0,1
"Afaxys, Inc.",2017,at_average,0,2
Affordable Phar,2013,above_average,75537.70000000003,1
Affordable Phar,2013,at_average,0,2
Affordable Phar,2014,above_average,635028.2000000001,1
Affordable Phar,2014,at_average,0,2
Affordable Phar,2015,above_average,717114.4000000005,1
Affordable Phar,2015,at_average,0,2
Affordable Phar,2016,above_average,535303.2000000001,1
Affordable Phar,2016,at_average,0,2
Affordable Phar,2017,above_average,351570.30000000005,1
Affordable Phar,2017,at_average,0,2
AHP,2013,above_average,1130545.28,17
AHP,2013,at_average,0,1
AHP,2013,below_average,-2411156.42,94
AHP,2014,above_average,1359191.49,20
AHP,2014,at_average,0,1
AHP,2014,below_average,-4320114.489999999,124
AHP,2015,above_average,1691437.54,33
AHP,2015,at_average,0,1
AHP,2015,below_average,-4275581.33,130
AHP,2016,above_average,1076311.89,36
AHP,2016,at_average,0,2
AHP,2016,below_average,-3331271.18,127
AHP,2017,above_average,900721.6399999999,38
AHP,2017,at_average,0,1
AHP,2017,below_average,-3232447.14,144
Ajanta Pharma L,2014,below_average,-100691.80000000003,1
Ajanta Pharma L,2015,below_average,-2020873.1000000006,1
Ajanta Pharma L,2016,below_average,-2773873.199999999,1
Ajanta Pharma L,2017,above_average,6525435,4
Ajanta Pharma L,2017,below_average,-3629765.1900000004,4
Akorn Inc.,2013,above_average,8033078.81,11
Akorn Inc.,2013,at_average,0,4
Akorn Inc.,2013,below_average,-14123736.209999999,17
Akorn Inc.,2014,above_average,8628493.82,11
Akorn Inc.,2014,at_average,0,9
Akorn Inc.,2014,below_average,-21902099.82,17
Akorn Inc.,2015,above_average,10277235.84,15
Akorn Inc.,2015,at_average,0,11
Akorn Inc.,2015,below_average,-34531942.35,16
Akorn Inc.,2016,above_average,6777151.93,15
Akorn Inc.,2016,at_average,0,11
Akorn Inc.,2016,below_average,-49276602.440000005,16
Akorn Inc.,2017,above_average,7649057.9799999995,16
Akorn Inc.,2017,at_average,0,10
Akorn Inc.,2017,below_average,-56228617.31,18
Akorn Inc.*,2013,above_average,931190.3999999999,1
Akorn Inc.*,2014,above_average,766785.5,1
Akorn Inc.*,2015,above_average,483643.8,1
Akorn Inc.*,2016,above_average,389807.2,1
Akorn Inc.*,2017,above_average,416095.5,1
Akrimax Pharmac,2017,at_average,0,1
Akrimax/Ani Pha,2013,at_average,0,2
Akrimax/Ani Pha,2014,at_average,0,2
Akrimax/Ani Pha,2015,at_average,0,2
Akrimax/Ani Pha,2016,at_average,0,2
Akrimax/Ani Pha,2017,at_average,0,2
Akrimax/Mist Ph,2013,at_average,0,1
Akrimax/Mist Ph,2014,at_average,0,1
Akrimax/Mist Ph,2015,at_average,0,1
Akrimax/Mist Ph,2016,at_average,0,1
Akrimax/Mist Ph,2017,at_average,0,2
Alcon Labs.,2013,at_average,0,1
Alcon Labs.,2014,at_average,0,1
Alcon Labs.,2015,at_average,0,1
Alcon Labs.,2016,at_average,0,1
Alcon Labs.,2017,at_average,0,1
Alcon Surgical,2013,at_average,0,2
Alcon Surgical,2014,at_average,0,2
Alcon Surgical,2015,at_average,0,2
Alcon Surgical,2016,at_average,0,2
Alcon Surgical,2017,at_average,0,2
Alcon/Novartis,2013,at_average,0,28
Alcon/Novartis,2014,at_average,0,28
Alcon/Novartis,2015,at_average,0,29
Alcon/Novartis,2016,at_average,0,29
Alcon/Novartis,2017,at_average,0,30
Alembic Pharmac,2015,below_average,-27295.800000000003,1
Alembic Pharmac,2016,below_average,-710487.8000000002,1
Alembic Pharmac,2017,above_average,4410279.499999999,5
Alembic Pharmac,2017,below_average,-8031851.310000002,15
Alexion Pharmac,2013,at_average,0,1
Alexion Pharmac,2014,at_average,0,1
Alexion Pharmac,2015,at_average,0,1
Alexion Pharmac,2016,at_average,0,1
Alexion Pharmac,2017,at_average,0,2
Alkermes Inc,2013,at_average,0,1
Alkermes Inc,2014,at_average,0,1
Alkermes Inc,2015,at_average,0,2
Alkermes Inc,2016,at_average,0,2
Alkermes Inc,2017,at_average,0,2
Allergan Inc.,2013,at_average,0,31
Allergan Inc.,2014,at_average,0,32
Allergan Inc.,2015,at_average,0,34
Allergan Inc.,2016,at_average,0,34
Allergan Inc.,2017,above_average,515091,2
Allergan Inc.,2017,at_average,0,35
Allergan/Botox,2013,at_average,0,1
Allergan/Botox,2014,at_average,0,1
Allergan/Botox,2015,at_average,0,1
Allergan/Botox,2016,at_average,0,1
Allergan/Botox,2017,at_average,0,1
Allison Medical,2013,at_average,0,5
Allison Medical,2014,at_average,0,5
Allison Medical,2015,at_average,0,5
Allison Medical,2016,at_average,0,5
Allison Medical,2017,at_average,0,5
Almatica Pharma,2013,at_average,0,2
Almatica Pharma,2014,at_average,0,2
Almatica Pharma,2015,at_average,0,7
Almatica Pharma,2016,at_average,0,7
Almatica Pharma,2017,at_average,0,8
Altaire Pharm,2014,below_average,-1508.6999999999998,1
Altaire Pharm,2015,below_average,-10265.020000000002,1
Altaire Pharm,2016,below_average,-10043.160000000002,1
Altaire Pharm,2017,below_average,-14573.28,1
Alvogen Inc,2013,above_average,35944686.5,7
Alvogen Inc,2013,below_average,-2554568.500000002,5
Alvogen Inc,2014,above_average,57897464.5,9
Alvogen Inc,2014,at_average,0,1
Alvogen Inc,2014,below_average,-2889750.5999999978,5
Alvogen Inc,2015,above_average,74029623.7,11
Alvogen Inc,2015,at_average,0,2
Alvogen Inc,2015,below_average,-3498665.000000004,7
Alvogen Inc,2016,above_average,79487192.3,9
Alvogen Inc,2016,at_average,0,3
Alvogen Inc,2016,below_average,-2506743.500000002,8
Alvogen Inc,2017,above_average,71611436.69999999,14
Alvogen Inc,2017,at_average,0,2
Alvogen Inc,2017,below_average,-4388477.199999998,10
Amag Pharmaceut,2017,below_average,-178800,1
Amarin Pharma I,2013,at_average,0,1
Amarin Pharma I,2014,at_average,0,1
Amarin Pharma I,2015,at_average,0,1
Amarin Pharma I,2016,at_average,0,1
Amarin Pharma I,2017,at_average,0,1
Amedra Pharmace,2013,at_average,0,2
Amedra Pharmace,2014,at_average,0,2
Amedra Pharmace,2015,at_average,0,2
Amedra Pharmace,2016,at_average,0,2
Amedra Pharmace,2017,at_average,0,3
Amer. Regent,2013,above_average,7358.000000000004,1
Amer. Regent,2013,at_average,0,2
Amer. Regent,2013,below_average,-359231.79,4
Amer. Regent,2014,above_average,107563,3
Amer. Regent,2014,at_average,0,1
Amer. Regent,2014,below_average,-108914.58,3
Amer. Regent,2015,above_average,521768.1,3
Amer. Regent,2015,below_average,-42947.70000000001,4
Amer. Regent,2016,above_average,496154.7,4
Amer. Regent,2016,below_average,-36687.19999999999,3
Amer. Regent,2017,above_average,1066620,4
Amer. Regent,2017,at_average,0,1
Amer. Regent,2017,below_average,-20615.2,3
American Sales,2015,below_average,-12099.799999999997,3
American Sales,2016,below_average,-21310.899999999998,3
American Sales,2017,below_average,-24003,3
Amerigen Pharma,2014,at_average,0,1
Amerigen Pharma,2015,above_average,90390,1
Amerigen Pharma,2016,above_average,368400,1
Amerigen Pharma,2017,below_average,-415198,1
Amerisourceberg,2013,at_average,0,1
Amerisourceberg,2013,below_average,-287.64000000000027,1
Amerisourceberg,2014,above_average,190.03999999999596,1
Amerisourceberg,2014,at_average,0,1
Amerisourceberg,2015,above_average,126.8299999999973,1
Amerisourceberg,2015,at_average,0,1
Amerisourceberg,2016,at_average,0,2
Amerisourceberg,2017,above_average,6907.330000000009,2
Amerisourceberg,2017,at_average,0,1
Amgen,2013,at_average,0,10
Amgen,2014,at_average,0,10
Amgen,2015,at_average,0,12
Amgen,2016,at_average,0,12
Amgen,2017,at_average,0,15
Amneal Bioscien,2017,below_average,-295244,1
Amneal Pharmace,2013,above_average,24146921.190000005,20
Amneal Pharmace,2013,at_average,0,2
Amneal Pharmace,2013,below_average,-111478591.50000001,24
Amneal Pharmace,2014,above_average,32620576.450000014,26
Amneal Pharmace,2014,at_average,0,5
Amneal Pharmace,2014,below_average,-114693646.91000001,22
Amneal Pharmace,2015,above_average,49209847.99,27
Amneal Pharmace,2015,at_average,0,5
Amneal Pharmace,2015,below_average,-116088979.94,31
Amneal Pharmace,2016,above_average,141332935.69,27
Amneal Pharmace,2016,at_average,0,7
Amneal Pharmace,2016,below_average,-213373593.54999998,29
Amneal Pharmace,2017,above_average,100346969.84,39
Amneal Pharmace,2017,at_average,0,6
Amneal Pharmace,2017,below_average,-188252990.24,34
Amphastar Pharm,2013,below_average,-5229432,1
Amphastar Pharm,2014,below_average,-3634250,1
Amphastar Pharm,2015,below_average,-872355,1
Amphastar Pharm,2016,above_average,180362,1
Amphastar Pharm,2017,below_average,-10569593.8,2
Amring Pharmace,2017,above_average,57351,2
Amring Pharmace*,2017,below_average,-857626,1
"Andapharm, LLC",2015,below_average,-36888,1
"Andapharm, LLC",2016,below_average,-1156,1
"Andapharm, LLC",2017,below_average,-11900,1
Ani Pharmaceuti,2013,above_average,144102.15000000002,1
Ani Pharmaceuti,2013,at_average,0,1
Ani Pharmaceuti,2013,below_average,-625841.2000000002,2
Ani Pharmaceuti,2014,above_average,159425.24000000005,2
Ani Pharmaceuti,2014,at_average,0,2
Ani Pharmaceuti,2014,below_average,-557377.7999999998,2
Ani Pharmaceuti,2015,above_average,802547.76,5
Ani Pharmaceuti,2015,at_average,0,3
Ani Pharmaceuti,2015,below_average,-810580.2999999998,3
Ani Pharmaceuti,2016,above_average,4321139.9799999995,5
Ani Pharmaceuti,2016,at_average,0,3
Ani Pharmaceuti,2016,below_average,-1007090.1999999994,3
Ani Pharmaceuti,2017,above_average,12128343.08,8
Ani Pharmaceuti,2017,at_average,0,4
Ani Pharmaceuti,2017,below_average,-3036194.6,5
Ani Pharmaceuti*,2013,above_average,820104.6,1
Ani Pharmaceuti*,2014,above_average,735802.2,1
Ani Pharmaceuti*,2015,above_average,729985.2000000001,1
Ani Pharmaceuti*,2016,above_average,1325226.0000000002,1
Ani Pharmaceuti*,2017,above_average,2340256.5999999996,1
Antares Pharma,2014,at_average,0,1
Antares Pharma,2015,at_average,0,1
Antares Pharma,2016,at_average,0,1
Antares Pharma,2017,at_average,0,1
Aphena Pharma S,2013,above_average,1672.8000000000002,1
Aphena Pharma S,2015,above_average,2184,1
Aphena Pharma S,2016,above_average,2643.2,1
Aphena Pharma S,2017,above_average,1309.0000000000002,1
Aphena Pharma S,2017,below_average,-52.38,1
Apopharma USA I,2013,at_average,0,2
Apopharma USA I,2014,at_average,0,2
Apopharma USA I,2015,at_average,0,2
Apopharma USA I,2016,at_average,0,2
Apopharma USA I,2017,at_average,0,2
Apotex Corp,2013,above_average,93943824.34,38
Apotex Corp,2013,at_average,0,5
Apotex Corp,2013,below_average,-65357431.13000003,50
Apotex Corp,2014,above_average,115650513.35,36
Apotex Corp,2014,at_average,0,6
Apotex Corp,2014,below_average,-97863873.73000002,64
Apotex Corp,2015,above_average,72322491.91,40
Apotex Corp,2015,at_average,0,6
Apotex Corp,2015,below_average,-104123163.71999998,66
Apotex Corp,2016,above_average,88911105.96,41
Apotex Corp,2016,at_average,0,7
Apotex Corp,2016,below_average,-115934844.47,64
Apotex Corp,2017,above_average,124728824.03,49
Apotex Corp,2017,at_average,0,4
Apotex Corp,2017,below_average,-106970523.16999999,65
Apotex Corp*,2013,above_average,690077.6000000013,2
Apotex Corp*,2013,below_average,-4525010,1
Apotex Corp*,2014,above_average,2000772,1
Apotex Corp*,2014,at_average,0,1
Apotex Corp*,2014,below_average,-1479684.0000000002,2
Apotex Corp*,2015,above_average,4519396.799999999,2
Apotex Corp*,2015,below_average,-352420.35999999876,2
Apotex Corp*,2016,above_average,1410173.46,2
Apotex Corp*,2016,at_average,0,1
Apotex Corp*,2016,below_average,-346938.3000000022,1
Apotex Corp*,2017,above_average,1493957.5200000007,2
Apotex Corp*,2017,below_average,-631390.1999999955,2
Apotex/Novaplus,2013,above_average,192248.2,2
Apotex/Novaplus,2013,below_average,-6309,1
Apotex/Novaplus,2014,above_average,480360.10000000003,3
Apotex/Novaplus,2014,below_average,-48182.40000000001,1
Apotex/Novaplus,2015,above_average,676247.3999999999,3
Apotex/Novaplus,2015,below_average,-175834.30000000002,2
Apotex/Novaplus,2016,above_average,653491.6,2
Apotex/Novaplus,2016,below_average,-167206.39999999997,3
Apotex/Novaplus,2017,above_average,368949.60000000003,3
Apotex/Novaplus,2017,at_average,0,1
Apotex/Novaplus,2017,below_average,-10982,1
App/Fresenius K,2013,above_average,4967253.149999999,23
App/Fresenius K,2013,at_average,0,14
App/Fresenius K,2013,below_average,-6737742.3,20
App/Fresenius K,2014,above_average,6111030.199999998,27
App/Fresenius K,2014,at_average,0,10
App/Fresenius K,2014,below_average,-7011574.220000001,21
App/Fresenius K,2015,above_average,7548617.29,31
App/Fresenius K,2015,at_average,0,10
App/Fresenius K,2015,below_average,-4940718.65,20
App/Fresenius K,2016,above_average,8548407.57,30
App/Fresenius K,2016,at_average,0,10
App/Fresenius K,2016,below_average,-6418829.44,21
App/Fresenius K,2017,above_average,9792068.81,36
App/Fresenius K,2017,at_average,0,10
App/Fresenius K,2017,below_average,-7471250.210000001,22
App/Fresenius K*,2013,above_average,6277.599999999998,1
App/Fresenius K*,2013,below_average,-30222180,2
App/Fresenius K*,2014,above_average,367.7999999999987,1
App/Fresenius K*,2014,below_average,-25103596,2
App/Fresenius K*,2015,above_average,1260,1
App/Fresenius K*,2015,below_average,-16017853.2,2
App/Fresenius K*,2016,below_average,-8621108.4,3
App/Fresenius K*,2017,at_average,0,1
App/Fresenius K*,2017,below_average,-6158241.1,3
App/Novaplus,2013,below_average,-134848,2
App/Novaplus,2014,above_average,754.8000000000002,1
App/Novaplus,2014,below_average,-204362.6,3
App/Novaplus,2015,above_average,1004.4999999999998,2
App/Novaplus,2015,below_average,-499201.1,6
App/Novaplus,2016,above_average,4681.2,2
App/Novaplus,2016,below_average,-1288102.28,6
App/Novaplus,2017,above_average,8065.92,2
App/Novaplus,2017,below_average,-1127541.36,6
App/Premierpro,2014,above_average,154746.9,1
App/Premierpro,2014,below_average,-64262,3
App/Premierpro,2015,above_average,102466.89000000001,2
App/Premierpro,2015,below_average,-797265.8,6
App/Premierpro,2016,above_average,160157.91999999998,3
App/Premierpro,2016,below_average,-4243170.8,5
App/Premierpro,2017,above_average,164358.12,3
App/Premierpro,2017,below_average,-5107199.15,12
App/Premierpro*,2017,below_average,-15067.800000000001,1
Aprecia Pharmac,2017,at_average,0,1
Aptalis/Allerga,2013,at_average,0,7
Aptalis/Allerga,2014,at_average,0,7
Aptalis/Allerga,2015,at_average,0,8
Aptalis/Allerga,2016,at_average,0,8
Aptalis/Allerga,2017,at_average,0,8
Arbor Pharmaceu,2013,above_average,9001420.4,1
Arbor Pharmaceu,2013,at_average,0,8
Arbor Pharmaceu,2014,above_average,13685346.6,1
Arbor Pharmaceu,2014,at_average,0,10
Arbor Pharmaceu,2015,above_average,21075242,1
Arbor Pharmaceu,2015,at_average,0,10
Arbor Pharmaceu,2016,above_average,20465713.5,1
Arbor Pharmaceu,2016,at_average,0,11
Arbor Pharmaceu,2017,above_average,22394192,1
Arbor Pharmaceu,2017,at_average,0,13
Arbor Pharmaceu,2017,below_average,-407125,1
Arbor/Espero Ph,2013,at_average,0,1
Arbor/Espero Ph,2014,at_average,0,1
Arbor/Espero Ph,2015,at_average,0,1
Arbor/Espero Ph,2016,at_average,0,1
Arbor/Espero Ph,2017,at_average,0,1
Areva Pharmaceu,2014,below_average,-29053.5,1
Areva Pharmaceu,2015,below_average,-13827.6,1
Areva Pharmaceu,2016,below_average,-58870,1
Areva Pharmaceu,2017,below_average,-31119,1
Ariad/Takeda,2017,at_average,0,1
Arkray USA,2014,at_average,0,1
Arkray USA,2015,at_average,0,1
Arkray USA,2016,at_average,0,1
Ascend Laborato,2013,above_average,748028.229999998,5
Ascend Laborato,2013,at_average,0,1
Ascend Laborato,2013,below_average,-10281219.34,9
Ascend Laborato,2014,above_average,3710825.1299999985,3
Ascend Laborato,2014,at_average,0,1
Ascend Laborato,2014,below_average,-20386502.500000004,11
Ascend Laborato,2015,above_average,5559194.850000001,6
Ascend Laborato,2015,at_average,0,1
Ascend Laborato,2015,below_average,-32823981.6,8
Ascend Laborato,2016,above_average,7366558.19,4
Ascend Laborato,2016,at_average,0,1
Ascend Laborato,2016,below_average,-56419850.56000001,10
Ascend Laborato,2017,above_average,7506025.620000002,8
Ascend Laborato,2017,below_average,-43965994.64,11
Aspen/Prasco La,2013,at_average,0,2
Aspen/Prasco La,2014,at_average,0,2
Aspen/Prasco La,2015,at_average,0,2
Aspen/Prasco La,2016,at_average,0,2
Aspen/Prasco La,2017,at_average,0,2
Astellas Pharma,2013,at_average,0,6
Astellas Pharma,2014,at_average,0,7
Astellas Pharma,2015,at_average,0,8
Astellas Pharma,2016,at_average,0,8
Astellas Pharma,2017,at_average,0,8
Astellas/Leo Ph,2013,at_average,0,1
Astellas/Leo Ph,2014,at_average,0,1
Astellas/Leo Ph,2015,at_average,0,1
Astellas/Leo Ph,2016,at_average,0,1
Astellas/Leo Ph,2017,at_average,0,1
Astellas/Novapl,2015,below_average,-19448,1
Astellas/Novapl,2016,below_average,-580,1
Astellas/Novapl,2017,below_average,-27000,1
Astrazeneca,2013,at_average,0,19
Astrazeneca,2014,at_average,0,24
Astrazeneca,2015,above_average,1102708,2
Astrazeneca,2015,at_average,0,30
Astrazeneca,2016,above_average,1546854,2
Astrazeneca,2016,at_average,0,30
Astrazeneca,2017,above_average,475973,2
Astrazeneca,2017,at_average,0,30
Astrazeneca Lp/,2013,at_average,0,1
Astrazeneca Lp/,2014,at_average,0,1
Astrazeneca Lp/,2015,at_average,0,1
Astrazeneca Lp/,2016,at_average,0,1
Astrazeneca Lp/,2017,at_average,0,2
Astrazeneca/Gen,2013,at_average,0,1
Astrazeneca/Gen,2014,at_average,0,1
Astrazeneca/Gen,2015,at_average,0,1
Astrazeneca/Gen,2016,at_average,0,1
Astrazeneca/Gen,2017,at_average,0,1
Astrazeneca/Ter,2017,at_average,0,1
Aurobindo Pharm,2013,above_average,39468775.82,31
Aurobindo Pharm,2013,at_average,0,2
Aurobindo Pharm,2013,below_average,-37672662.239999995,56
Aurobindo Pharm,2014,above_average,36066018.519999996,40
Aurobindo Pharm,2014,at_average,0,1
Aurobindo Pharm,2014,below_average,-29270357.470000003,60
Aurobindo Pharm,2015,above_average,55432329.61,37
Aurobindo Pharm,2015,at_average,0,1
Aurobindo Pharm,2015,below_average,-50438269.879999995,73
Aurobindo Pharm,2016,above_average,57095037.78,43
Aurobindo Pharm,2016,at_average,0,2
Aurobindo Pharm,2016,below_average,-58103078.789999984,66
Aurobindo Pharm,2017,above_average,41336678.85,46
Aurobindo Pharm,2017,at_average,0,1
Aurobindo Pharm,2017,below_average,-53958914.54,79
Auromedics Phar,2013,above_average,182342.7,7
Auromedics Phar,2013,below_average,-81898,2
Auromedics Phar,2014,above_average,313291.2,4
Auromedics Phar,2014,below_average,-306469.10000000003,7
Auromedics Phar,2015,above_average,537713,8
Auromedics Phar,2015,below_average,-142514.2,4
Auromedics Phar,2016,above_average,1386008.8,7
Auromedics Phar,2016,below_average,-145456,5
Auromedics Phar,2017,above_average,1322237.82,12
Auromedics Phar,2017,below_average,-419653.75999999995,5
Aurora Health.,2013,below_average,-5260.6,2
Aurora Health.,2014,below_average,-8242,2
Aurora Health.,2015,below_average,-8155.4000000000005,2
Aurora Health.,2016,below_average,-7062,2
Aurora Health.,2017,above_average,577.1999999999999,1
Aurora Health.,2017,below_average,-1131.3000000000027,1
Auxilium/Endo P,2013,at_average,0,6
Auxilium/Endo P,2013,below_average,-40502,1
Auxilium/Endo P,2014,at_average,0,7
Auxilium/Endo P,2014,below_average,-70050,1
Auxilium/Endo P,2015,at_average,0,8
Auxilium/Endo P,2015,below_average,-116380,1
Auxilium/Endo P,2016,at_average,0,8
Auxilium/Endo P,2017,at_average,0,8
Avadel Pharmace,2017,above_average,20789.699999999997,1
Avadel Pharmace,2017,at_average,0,2
Avanir Pharmace,2013,at_average,0,1
Avanir Pharmace,2014,at_average,0,1
Avanir Pharmace,2015,at_average,0,1
Avanir Pharmace,2016,at_average,0,1
Avanir Pharmace,2017,at_average,0,2
Avion Pharmaceu,2015,at_average,0,1
Avion Pharmaceu,2016,at_average,0,1
Avion Pharmaceu,2017,at_average,0,5
Avkare,2013,above_average,1203.2900000000002,2
Avkare,2013,below_average,-69851.2,9
Avkare,2014,above_average,46750.44000000001,9
Avkare,2014,below_average,-192754.40000000005,10
Avkare,2015,above_average,121874.91999999998,15
Avkare,2015,below_average,-1246596.53,16
Avkare,2016,above_average,80674.97000000002,9
Avkare,2016,below_average,-1504549.3799999997,22
Avkare,2017,above_average,117420.93,17
Avkare,2017,below_average,-1216427.6500000001,32
Avpak,2013,below_average,-6728.2,4
Avpak,2014,above_average,3065.4,4
Avpak,2014,below_average,-6362.06,5
Avpak,2015,above_average,1050.2799999999997,4
Avpak,2015,below_average,-11642.58,7
Avpak,2016,above_average,972.7600000000001,3
Avpak,2016,below_average,-16541.96,8
Avpak,2017,below_average,-18368.07,16
B.Braun,2013,above_average,15987.499999999998,4
B.Braun,2013,at_average,0,2
B.Braun,2013,below_average,-372427.54,9
